depth	min	max	median	mean
368	4755	5989	5361	5368
378	4785	6014	5388	5397
378.000025	4785	6014	5388	5397
400	5107	6360	5713	5719
410	5253	6509	5863	5866
420	5408	6652	6009	6013
430	5561	6786	6160	6162
445	5761	6989	6353	6361
445.000025	5762	6990	6357	6364
455	5953	7179	6539	6546
485	6493	7869	7132	7143
495	6689	8096	7335	7351
495.000025	6694	8103	7341	7357
505	6728	8127	7372	7389
540	6856	8276	7500	7517
575	6982	8398	7627	7645
585	7018	8434	7664	7682
605	7092	8505	7735	7754
650	7260	8668	7899	7918
695	7427	8830	8065	8083
705	7461	8871	8102	8120
715	7501	8905	8139	8155
715.000025	7501	8905	8139	8155
725	11500	12465	11962	11997
726	12280	12908	12549	12569
728	12526	12949	12732	12736
730	12735	13056	12906	12902
730.000025	12735	13056	12906	12902
732	12773	13072	12931	12929
734	12796	13100	12957	12956
736	12818	13123	12977	12976
738	12834	13158	12997	12997
740	12857	13175	13018	13018
742	12874	13210	13038	13038
744	12894	13226	13059	13059
746	12908	13252	13080	13079
748	12931	13270	13100	13100
750	12948	13295	13122	13121
752	12971	13310	13142	13142
754	12989	13337	13163	13162
756	13013	13354	13183	13183
758	13030	13377	13204	13203
760	13052	13394	13225	13224
762	13066	13411	13246	13244
764	13095	13429	13266	13264
766	13114	13449	13285	13284
768	13142	13466	13304	13304
770	13163	13487	13324	13324
772	13194	13503	13344	13345
774	13214	13529	13364	13365
776	13249	13547	13384	13385
778	13268	13566	13405	13406
780	13283	13601	13426	13429
782	13295	13664	13445	13452
784	13314	13705	13465	13476
786	13326	13763	13484	13499
788	13342	13795	13506	13523
790	13351	13846	13527	13546
792	13369	13884	13549	13570
794	13380	13934	13569	13593
796	13395	13965	13591	13616
798	13407	14014	13611	13638
800	13421	14043	13630	13661
802	13432	14089	13651	13684
804	13447	14125	13669	13707
806	13458	14179	13688	13731
808	13472	14211	13707	13754
810	13484	14257	13727	13777
812	13498	14290	13746	13800
814	13511	14333	13764	13823
816	13527	14361	13782	13846
818	13539	14400	13803	13868
820	13557	14424	13819	13891
822	13569	14467	13836	13914
824	13583	14500	13854	13938
826	13594	14530	13873	13961
828	13610	14557	13890	13984
830	13622	14591	13907	14008
832	13634	14618	13923	14031
834	13647	14652	13939	14054
836	13661	14671	13953	14078
838	13674	14707	13968	14101
840	13690	14726	13984	14117
840.000025	13693	14729	13989	14122
842	13697	14734	13994	14129
844	13714	14759	14006	14154
845	13719	14771	14015	14166
846	13725	14790	14027	14179
847	13730	14796	14033	14185
847.000025	13730	14796	14033	14185
848	13735	14803	14038	14192
850	13744	14815	14050	14206
852	14377	15856	15237	15209
854	14697	17274	16289	16211
855	15843	17615	16763	16748
