depth	min68.2%	max68.2%	best	accrate
3.58	4999	5764	5378	1426
3.59	5020	5772	5393	1426
3.6	5039	5782	5407	1426
3.61	5058	5792	5421	1426
3.62	5075	5802	5435	1426
3.63	5094	5811	5450	1426
3.64	5114	5820	5464	1426
3.65	5131	5829	5478	1426
3.66	5150	5839	5492	1426
3.67	5168	5850	5507	1426
3.68	5186	5860	5521	1426
3.69	5204	5870	5535	1426
3.7	5224	5880	5550	1426
3.71	5242	5890	5564	1426
3.72	5259	5899	5578	1426
3.73	5277	5910	5592	1426
3.74	5294	5920	5607	1426
3.75	5313	5931	5621	1426
3.76	5330	5943	5635	1426
3.77	5347	5954	5649	1426
3.78	5363	5964	5664	1426
3.79	5380	5976	5678	1426
3.8	5397	5987	5692	1426
3.81	5415	6000	5706	1426
3.82	5431	6011	5721	1426
3.83	5447	6022	5735	1426
3.84	5462	6035	5749	1426
3.85	5478	6045	5763	1426
3.86	5495	6057	5778	1426
3.87	5512	6071	5792	1426
3.88	5527	6082	5806	1426
3.89	5543	6095	5820	1426
3.9	5558	6107	5835	1426
3.91	5571	6121	5849	1426
3.92	5586	6135	5863	1426
3.93	5602	6147	5877	1426
3.94	5618	6162	5892	1426
3.95	5633	6176	5906	1426
3.96	5648	6191	5920	1426
3.97	5663	6205	5935	1426
3.98	5677	6220	5949	1426
3.99	5690	6234	5963	1426
4	5704	6249	5977	1426
4.01	5717	6265	5992	1426
4.02	5732	6280	6006	1426
4.03	5745	6294	6020	1426
4.04	5758	6308	6034	1426
4.05	5770	6323	6049	1426
4.06	5783	6339	6063	1426
4.07	5795	6354	6077	1426
4.08	5809	6370	6091	1426
4.09	5823	6387	6106	1426
4.1	5836	6403	6120	1426
4.11	5849	6420	6134	1426
4.12	5863	6436	6148	1426
4.13	5875	6453	6163	1426
4.14	5887	6471	6177	1426
4.15	5899	6488	6191	1426
4.16	5910	6505	6205	1426
4.17	5920	6523	6220	1426
4.18	5932	6540	6234	1426
4.19	5943	6558	6248	1426
4.2	5956	6572	6263	1426
4.21	5967	6591	6277	1426
4.22	5979	6608	6291	1426
4.23	5990	6626	6305	1426
4.24	6000	6645	6320	1426
4.25	6010	6662	6334	1426
4.26	6021	6680	6348	1426
4.27	6030	6698	6362	1426
4.28	6040	6715	6377	1426
4.29	6049	6734	6391	1426
4.3	6061	6753	6405	1426
4.31	6070	6772	6419	1426
4.32	6082	6790	6434	1426
4.33	6091	6809	6448	1426
4.34	6100	6828	6462	1426
4.35	6110	6847	6476	364.59
4.36	6115	6849	6480	364.59
4.37	6120	6852	6484	364.59
4.38	6125	6855	6487	364.59
