depth	min95%	max95%	best	accrate
7	12801	13061	12943	9.39
8	12814	13068	12952	9.39
9	12825	13074	12962	9.39
10	12838	13081	12971	9.39
11	12852	13088	12980	9.39
12	12865	13094	12990	9.39
13	12876	13103	12999	9.39
14	12887	13110	13008	9.39
15	12899	13118	13018	9.39
16	12913	13126	13027	9.39
17	12925	13133	13037	9.39
18	12938	13141	13046	9.39
19	12949	13148	13055	9.39
20	12961	13157	13065	9.39
21	12972	13167	13074	9.39
22	12984	13175	13084	9.39
23	12995	13183	13093	9.39
24	13006	13191	13102	9.39
25	13017	13200	13112	9.39
26	13028	13209	13121	9.39
27	13039	13217	13131	9.39
28	13050	13226	13140	9.39
29	13061	13235	13149	9.39
30	13072	13244	13159	9.39
31	13085	13252	13168	9.39
32	13095	13260	13178	9.39
33	13106	13270	13187	9.39
34	13117	13279	13196	9.39
35	13126	13289	13206	9.39
36	13136	13298	13215	9.39
37	13148	13308	13225	9.39
38	13157	13318	13234	9.39
39	13165	13327	13243	9.39
40	13174	13337	13253	9.39
41	13185	13347	13262	9.39
42	13194	13355	13272	9.39
43	13204	13364	13281	9.39
44	13212	13373	13290	9.39
45	13220	13382	13300	9.39
46	13226	13391	13309	9.39
47	13234	13401	13319	9.39
48	13242	13412	13328	9.39
49	13252	13423	13337	9.39
50	13259	13434	13347	9.39
51	13269	13444	13356	9.39
52	13278	13455	13365	9.39
53	13285	13465	13375	3.29
54	13290	13468	13378	3.29
55	13295	13470	13381	3.29
56	13299	13472	13385	3.29
57	13303	13475	13388	3.29
58	13306	13477	13391	3.29
59	13311	13480	13395	3.29
60	13315	13482	13398	3.29
61	13319	13483	13401	3.29
62	13324	13486	13404	3.29
63	13329	13488	13408	3.29
64	13333	13491	13411	3.29
65	13338	13494	13414	3.29
66	13343	13496	13418	3.29
67	13347	13497	13421	3.29
68	13351	13500	13424	3.29
69	13354	13502	13427	3.29
70	13357	13506	13431	3.29
71	13360	13509	13434	3.29
72	13363	13513	13437	3.29
73	13367	13516	13441	3.29
74	13370	13520	13444	3.29
75	13373	13522	13447	3.29
76	13375	13525	13450	3.29
77	13378	13529	13454	3.29
78	13381	13530	13457	3.29
79	13384	13533	13460	3.29
80	13388	13537	13464	3.29
81	13390	13542	13467	3.29
82	13393	13546	13470	3.29
83	13396	13550	13473	3.29
84	13398	13554	13477	3.29
85	13401	13558	13480	3.29
86	13404	13561	13483	3.29
87	13407	13564	13487	3.29
88	13410	13568	13490	3.29
89	13412	13572	13493	3.29
90	13414	13575	13496	3.29
91	13417	13579	13500	3.29
92	13419	13583	13503	3.29
93	13422	13588	13506	3.29
94	13425	13592	13510	3.29
95	13427	13596	13513	3.29
96	13430	13600	13516	3.29
97	13432	13604	13519	3.29
98	13434	13608	13523	3.29
99	13436	13613	13526	3.29
100	13438	13617	13529	3.29
101	13440	13621	13533	3.29
102	13442	13625	13536	3.29
103	13443	13629	13539	3.29
104	13445	13634	13542	3.29
105	13447	13638	13546	3.29
106	13449	13643	13549	3.29
107	13450	13647	13552	3.29
108	13451	13651	13556	3.29
109	13453	13655	13559	3.29
110	13454	13660	13562	3.29
111	13456	13665	13565	3.29
112	13457	13669	13569	3.29
113	13459	13674	13572	3.29
114	13461	13679	13575	3.29
115	13463	13684	13579	3.29
116	13465	13689	13582	3.29
117	13467	13694	13585	3.29
118	13467	13698	13588	3.29
119	13469	13702	13592	3.29
120	13469	13707	13595	3.29
121	13471	13712	13598	3.29
122	13472	13718	13602	3.29
123	13474	13723	13605	3.29
124	13476	13729	13608	3.29
125	13477	13733	13611	NA
