depth	min95%	max95%	best	accrate
7	12795	13060	12938	11.95
8	12811	13069	12950	11.85
9	12827	13077	12961	11.74
10	12842	13087	12973	11.63
11	12856	13095	12985	11.53
12	12870	13103	12996	11.42
13	12885	13111	13008	11.31
14	12902	13119	13019	11.21
15	12916	13129	13030	11.1
16	12928	13138	13041	10.99
17	12941	13148	13052	10.89
18	12956	13157	13063	10.78
19	12970	13165	13074	10.68
20	12984	13174	13085	10.57
21	12996	13183	13095	10.46
22	13009	13193	13106	10.36
23	13020	13202	13116	10.25
24	13032	13211	13126	10.14
25	13044	13222	13136	10.04
26	13056	13230	13146	9.93
27	13067	13240	13156	9.82
28	13077	13249	13166	9.72
29	13087	13259	13176	9.61
30	13098	13268	13186	9.51
31	13108	13277	13195	9.4
32	13118	13286	13204	9.29
33	13129	13295	13214	9.19
34	13138	13304	13223	9.08
35	13146	13313	13232	8.97
36	13156	13322	13241	8.87
37	13165	13331	13250	8.76
38	13174	13340	13259	8.65
39	13182	13349	13267	8.55
40	13191	13358	13276	8.44
41	13199	13366	13284	8.33
42	13207	13375	13293	8.23
43	13214	13383	13301	8.12
44	13222	13391	13309	8.02
45	13230	13399	13317	7.91
46	13237	13406	13325	7.8
47	13244	13415	13333	7.7
48	13252	13423	13340	7.59
49	13260	13431	13348	7.48
50	13268	13439	13355	7.38
51	13275	13446	13363	7.27
52	13282	13454	13370	7.16
53	13289	13461	13377	7.06
54	13294	13469	13384	6.95
55	13298	13476	13391	6.84
56	13305	13485	13398	6.74
57	13312	13494	13405	6.63
58	13318	13502	13412	6.53
59	13325	13509	13418	6.42
60	13330	13516	13424	6.31
61	13335	13522	13431	6.21
62	13341	13527	13437	6.1
63	13345	13534	13443	5.99
64	13350	13540	13449	5.89
65	13357	13545	13455	5.78
66	13361	13551	13461	5.67
67	13366	13557	13466	5.57
68	13370	13564	13472	5.46
69	13375	13570	13477	5.35
70	13381	13576	13483	5.25
71	13386	13582	13488	5.14
72	13390	13587	13493	5.04
73	13395	13593	13498	4.93
74	13400	13598	13503	4.82
75	13404	13604	13508	4.72
76	13409	13609	13513	4.61
77	13412	13614	13517	4.5
78	13416	13619	13522	4.4
79	13419	13624	13526	4.29
80	13423	13629	13530	4.18
81	13427	13634	13535	4.08
82	13431	13638	13539	3.97
83	13436	13642	13543	3.87
84	13439	13647	13547	3.76
85	13443	13651	13550	3.65
86	13447	13656	13554	3.55
87	13452	13660	13558	3.44
88	13455	13664	13561	3.33
89	13458	13668	13564	3.23
90	13460	13671	13568	3.12
91	13462	13674	13571	3.01
92	13465	13678	13574	2.91
93	13469	13680	13577	2.8
94	13472	13684	13579	2.69
95	13474	13687	13582	2.59
96	13476	13690	13585	2.48
97	13478	13693	13587	2.38
98	13481	13696	13590	2.27
99	13483	13697	13592	2.16
100	13484	13699	13594	2.06
101	13486	13701	13596	1.95
102	13489	13704	13598	1.84
103	13491	13706	13600	1.74
104	13493	13707	13602	1.63
105	13494	13710	13603	1.52
106	13495	13711	13605	1.42
107	13495	13712	13606	1.31
108	13495	13713	13607	1.2
109	13495	13714	13609	1.1
110	13494	13715	13610	0.99
111	13495	13716	13611	0.89
112	13494	13716	13612	0.78
113	13495	13717	13612	0.67
114	13494	13718	13613	0.57
115	13494	13719	13614	0.46
116	13492	13720	13614	0.35
117	13492	13721	13614	0.25
118	13491	13722	13615	0.14
119	13491	13723	13615	0.03
120	13489	13724	13615	-0.07
121	13487	13726	13615	-0.18
122	13485	13727	13615	-0.29
123	13483	13729	13614	-0.39
124	13480	13729	13614	-0.5
125	13477	13732	13613	NA
