depth	min95%	max95%	best	accrate
7	12793	13061	12937	11.96
8	12808	13069	12949	11.85
9	12823	13078	12961	11.74
10	12838	13087	12972	11.64
11	12855	13094	12984	11.53
12	12871	13103	12995	11.42
13	12888	13112	13007	11.32
14	12904	13121	13018	11.21
15	12918	13132	13029	11.11
16	12932	13139	13040	11
17	12946	13148	13051	10.89
18	12959	13156	13062	10.79
19	12973	13164	13073	10.68
20	12985	13173	13084	10.57
21	12997	13182	13094	10.47
22	13009	13193	13105	10.36
23	13021	13203	13115	10.25
24	13034	13212	13125	10.15
25	13045	13221	13136	10.04
26	13056	13230	13146	9.93
27	13067	13240	13156	9.83
28	13078	13247	13165	9.72
29	13088	13255	13175	9.62
30	13097	13265	13185	9.51
31	13107	13274	13194	9.4
32	13117	13283	13204	9.3
33	13128	13293	13213	9.19
34	13135	13303	13222	9.08
35	13145	13312	13231	8.98
36	13155	13321	13240	8.87
37	13163	13328	13249	8.76
38	13171	13338	13258	8.66
39	13181	13346	13267	8.55
40	13190	13355	13275	8.44
41	13198	13365	13284	8.34
42	13205	13374	13292	8.23
43	13213	13382	13300	8.13
44	13221	13391	13308	8.02
45	13228	13400	13316	7.91
46	13235	13408	13324	7.81
47	13243	13419	13332	7.7
48	13250	13429	13340	7.59
49	13258	13439	13347	7.49
50	13265	13448	13355	7.38
51	13271	13457	13362	7.27
52	13277	13464	13369	7.17
53	13284	13473	13377	7.06
54	13291	13480	13384	6.95
55	13297	13487	13391	6.85
56	13304	13495	13397	6.74
57	13310	13502	13404	6.64
58	13315	13508	13411	6.53
59	13322	13516	13417	6.42
60	13328	13525	13424	6.32
61	13333	13532	13430	6.21
62	13339	13540	13436	6.1
63	13343	13547	13442	6
64	13349	13554	13448	5.89
65	13354	13561	13454	5.78
66	13359	13567	13460	5.68
67	13364	13574	13466	5.57
68	13369	13580	13471	5.46
69	13374	13586	13477	5.36
70	13379	13591	13482	5.25
71	13384	13597	13487	5.15
72	13389	13601	13493	5.04
73	13393	13606	13498	4.93
74	13397	13611	13502	4.83
75	13403	13617	13507	4.72
76	13407	13621	13512	4.61
77	13411	13626	13517	4.51
78	13415	13630	13521	4.4
79	13420	13634	13526	4.29
80	13423	13638	13530	4.19
81	13428	13642	13534	4.08
82	13432	13646	13538	3.98
83	13435	13650	13542	3.87
84	13440	13655	13546	3.76
85	13443	13659	13550	3.66
86	13446	13662	13553	3.55
87	13450	13666	13557	3.44
88	13454	13668	13560	3.34
89	13458	13670	13564	3.23
90	13462	13673	13567	3.12
91	13465	13676	13570	3.02
92	13470	13679	13573	2.91
93	13472	13682	13576	2.8
94	13474	13686	13579	2.7
95	13478	13688	13582	2.59
96	13481	13689	13584	2.49
97	13482	13691	13587	2.38
98	13484	13693	13589	2.27
99	13486	13695	13591	2.17
100	13488	13697	13593	2.06
101	13490	13699	13595	1.95
102	13493	13701	13597	1.85
103	13495	13703	13599	1.74
104	13496	13705	13601	1.63
105	13497	13706	13603	1.53
106	13498	13707	13604	1.42
107	13499	13708	13606	1.31
108	13500	13709	13607	1.21
109	13500	13710	13608	1.1
110	13499	13711	13609	1
111	13499	13711	13610	0.89
112	13499	13713	13611	0.78
113	13498	13713	13612	0.68
114	13498	13716	13613	0.57
115	13497	13718	13613	0.46
116	13495	13719	13614	0.36
117	13495	13722	13614	0.25
118	13494	13723	13614	0.14
119	13493	13724	13614	0.04
120	13492	13725	13614	-0.07
121	13490	13727	13614	-0.18
122	13488	13730	13614	-0.28
123	13485	13732	13614	-0.39
124	13483	13733	13613	-0.49
125	13479	13734	13613	NA
