depth	min	max	median	mean
358	4897	6207	5498	5506
368	4930	6244	5535	5543
378	4958	6274	5565	5571
378.000025	4958	6274	5565	5571
400	5288	6588	5892	5901
410	5432	6735	6043	6051
420	5591	6890	6194	6203
430	5744	7022	6343	6355
445	5965	7221	6543	6559
445.000025	5966	7225	6546	6562
455	6063	7324	6644	6659
485	6360	7657	6956	6970
495	6454	7767	7063	7074
495.000025	6457	7769	7067	7078
505	6489	7806	7096	7108
540	6613	7926	7225	7234
575	6730	8057	7350	7362
585	6765	8093	7386	7398
605	6834	8162	7462	7471
650	6993	8334	7622	7634
695	7162	8494	7786	7798
705	7196	8533	7824	7834
715	7228	8570	7860	7869
715.000025	7228	8570	7860	7869
725	11554	12750	12060	12107
726	12321	13138	12603	12636
728	12564	13282	12793	12825
730	12775	13458	12979	13014
730.000025	12775	13458	12979	13014
732	12806	13483	13003	13040
734	12832	13509	13029	13066
736	12855	13532	13051	13088
738	12874	13556	13074	13110
740	12894	13573	13095	13131
742	12914	13592	13118	13153
744	12933	13621	13139	13175
746	12953	13644	13161	13197
748	12977	13668	13181	13218
750	12996	13691	13204	13240
752	13018	13709	13225	13260
754	13033	13733	13247	13281
756	13059	13754	13268	13302
758	13079	13778	13289	13323
760	13101	13796	13309	13344
762	13120	13817	13329	13365
764	13147	13832	13350	13386
766	13166	13849	13372	13407
768	13196	13875	13391	13429
770	13214	13903	13411	13450
772	13243	13923	13430	13471
774	13265	13941	13450	13492
776	13299	13960	13469	13513
778	13324	13978	13491	13534
780	13341	14007	13514	13557
782	13353	14036	13536	13579
784	13369	14059	13559	13601
786	13382	14085	13582	13624
788	13400	14107	13605	13646
790	13416	14131	13624	13668
792	13430	14159	13647	13690
794	13442	14196	13669	13713
796	13463	14218	13692	13735
798	13477	14253	13714	13757
800	13495	14284	13736	13780
802	13508	14329	13757	13803
804	13525	14355	13777	13824
806	13539	14390	13798	13846
808	13557	14417	13821	13869
810	13573	14451	13841	13891
812	13589	14476	13863	13913
814	13606	14512	13884	13935
816	13626	14542	13904	13958
818	13643	14576	13925	13981
820	13661	14598	13945	14003
822	13676	14630	13965	14026
824	13693	14662	13986	14047
826	13710	14698	14007	14069
828	13729	14722	14027	14091
830	13744	14757	14050	14114
832	13763	14780	14069	14136
834	13777	14813	14089	14158
836	13800	14843	14110	14180
838	13818	14872	14132	14203
840	13839	14910	14154	14225
842	13855	14938	14176	14247
844	13877	14974	14199	14269
846	13896	15010	14217	14291
848	13911	15025	14230	14304
850	13921	15042	14241	14317
850.000025	13921	15042	14241	14317
852	14086	15476	14642	14679
854	14164	16206	14989	15041
855	14387	16295	15188	15229
856	14526	16415	15391	15416
858	14708	16802	15808	15790
860	15460	16997	16164	16179
862	15942	17320	16549	16568
863	16044	17368	16628	16645
864	16127	17439	16707	16722
864.3	16151	17459	16732	16745
864.300025	16166	17461	16747	16761
869	16586	18965	17403	17498
