depth	min68.2%	max68.2%	best	accrate
3.58	4989	5772	5379	1456.93
3.59	5009	5783	5393	1456.93
3.6	5029	5793	5408	1456.93
3.61	5048	5803	5423	1456.93
3.62	5067	5813	5437	1456.93
3.63	5087	5823	5452	1456.93
3.64	5105	5832	5466	1456.93
3.65	5126	5842	5481	1456.93
3.66	5145	5851	5495	1456.93
3.67	5164	5862	5510	1456.93
3.68	5181	5873	5524	1456.93
3.69	5200	5885	5539	1456.93
3.7	5218	5895	5554	1456.93
3.71	5237	5907	5568	1456.93
3.72	5255	5917	5583	1456.93
3.73	5273	5930	5597	1456.93
3.74	5293	5942	5612	1456.93
3.75	5311	5953	5626	1456.93
3.76	5329	5965	5641	1456.93
3.77	5348	5975	5656	1456.93
3.78	5363	5987	5670	1456.93
3.79	5381	5999	5685	1456.93
3.8	5399	6011	5699	1456.93
3.81	5413	6022	5714	1456.93
3.82	5431	6033	5728	1456.93
3.83	5448	6045	5743	1456.93
3.84	5466	6058	5758	1456.93
3.85	5483	6071	5772	1456.93
3.86	5499	6083	5787	1456.93
3.87	5515	6097	5801	1456.93
3.88	5531	6109	5816	1456.93
3.89	5546	6121	5830	1456.93
3.9	5560	6135	5845	1456.93
3.91	5573	6149	5860	1456.93
3.92	5589	6164	5874	1456.93
3.93	5604	6178	5889	1456.93
3.94	5619	6193	5903	1456.93
3.95	5636	6207	5918	1456.93
3.96	5649	6222	5932	1456.93
3.97	5665	6235	5947	1456.93
3.98	5679	6250	5962	1456.93
3.99	5693	6265	5976	1456.93
4	5706	6280	5991	1456.93
4.01	5721	6293	6005	1456.93
4.02	5733	6308	6020	1456.93
4.03	5747	6323	6034	1456.93
4.04	5759	6339	6049	1456.93
4.05	5773	6355	6064	1456.93
4.06	5787	6370	6078	1456.93
4.07	5798	6386	6093	1456.93
4.08	5811	6404	6107	1456.93
4.09	5823	6419	6122	1456.93
4.1	5836	6436	6136	1456.93
4.11	5847	6452	6151	1456.93
4.12	5861	6470	6166	1456.93
4.13	5872	6486	6180	1456.93
4.14	5884	6505	6195	1456.93
4.15	5895	6521	6209	1456.93
4.16	5907	6540	6224	1456.93
4.17	5920	6558	6238	1456.93
4.18	5932	6575	6253	1456.93
4.19	5942	6591	6268	1456.93
4.2	5953	6610	6282	1456.93
4.21	5965	6629	6297	1456.93
4.22	5977	6646	6311	1456.93
4.23	5988	6664	6326	1456.93
4.24	5998	6681	6340	1456.93
4.25	6008	6698	6355	1456.93
4.26	6019	6718	6370	1456.93
4.27	6030	6736	6384	1456.93
4.28	6041	6755	6399	1456.93
4.29	6051	6775	6413	1456.93
4.3	6060	6795	6428	1456.93
4.31	6071	6813	6442	1456.93
4.32	6081	6831	6457	1456.93
4.33	6091	6849	6471	1456.93
4.34	6102	6868	6486	1456.93
4.35	6111	6887	6501	1861.72
4.36	6131	6905	6519	1861.72
4.37	6151	6923	6538	1861.72
4.38	6171	6939	6556	1861.72
4.39	6191	6956	6575	1861.72
4.4	6211	6974	6594	1861.72
4.41	6231	6991	6612	1861.72
4.42	6251	7009	6631	1861.72
4.43	6270	7026	6650	1861.72
4.44	6290	7043	6668	1861.72
4.45	6310	7060	6687	1861.72
4.46	6330	7077	6705	1861.72
4.47	6350	7094	6724	1861.72
4.48	6370	7112	6743	1861.72
4.49	6389	7128	6761	1861.72
4.5	6409	7146	6780	1861.72
4.51	6429	7163	6799	1861.72
4.52	6449	7180	6817	1861.72
4.53	6469	7198	6836	1861.72
4.54	6489	7215	6854	1861.72
4.55	6509	7232	6873	1861.72
4.56	6529	7249	6892	1861.72
4.57	6548	7266	6910	1861.72
4.58	6569	7284	6929	1861.72
4.59	6588	7301	6947	1861.72
4.6	6608	7318	6966	1861.72
4.61	6628	7335	6985	1861.72
4.62	6649	7352	7003	1861.72
4.63	6669	7369	7022	1861.72
4.64	6689	7385	7041	1861.72
4.65	6708	7403	7059	1861.72
4.66	6728	7420	7078	1861.72
4.67	6748	7438	7096	1861.72
4.68	6768	7455	7115	1861.72
4.69	6788	7473	7134	1861.72
4.7	6808	7490	7152	1861.72
4.71	6829	7508	7171	1861.72
4.72	6848	7525	7189	1861.72
4.73	6868	7542	7208	1861.72
4.74	6888	7559	7227	1861.72
4.75	6907	7576	7245	1861.72
4.76	6927	7594	7264	1861.72
4.77	6948	7611	7283	1861.72
4.78	6968	7628	7301	1861.72
4.79	6988	7646	7320	1861.72
4.8	7008	7663	7338	1861.72
4.81	7027	7680	7357	1861.72
4.82	7047	7698	7376	1861.72
4.83	7067	7715	7394	1861.72
4.84	7087	7733	7413	1861.72
4.85	7107	7751	7431	1861.72
4.86	7126	7768	7450	1861.72
4.87	7146	7786	7469	1861.72
4.88	7167	7804	7487	1861.72
4.89	7187	7821	7506	1861.72
4.9	7207	7838	7525	1861.72
4.91	7227	7855	7543	1861.72
4.92	7247	7873	7562	1861.72
4.93	7267	7890	7580	1861.72
4.94	7287	7908	7599	1861.72
4.95	7307	7925	7618	1861.72
4.96	7327	7942	7636	1861.72
4.97	7346	7960	7655	1861.72
4.98	7366	7978	7674	1861.72
4.99	7386	7996	7692	1861.72
5	7406	8013	7711	1861.72
5.01	7426	8030	7729	1861.72
5.02	7446	8047	7748	1861.72
5.03	7466	8064	7767	1861.72
5.04	7486	8082	7785	1861.72
5.05	7506	8100	7804	1861.72
5.06	7525	8117	7822	1861.72
5.07	7545	8135	7841	1861.72
5.08	7565	8152	7860	1861.72
5.09	7585	8170	7878	1861.72
5.1	7605	8187	7897	1861.72
5.11	7624	8205	7916	1861.72
5.12	7644	8222	7934	1861.72
5.13	7664	8240	7953	1861.72
5.14	7684	8258	7971	1861.72
5.15	7703	8275	7990	1861.72
5.16	7722	8292	8009	1861.72
5.17	7742	8309	8027	1861.72
5.18	7762	8327	8046	1861.72
5.19	7782	8344	8064	1861.72
5.2	7802	8361	8083	1861.72
5.21	7822	8378	8102	1861.72
5.22	7842	8396	8120	1861.72
5.23	7862	8414	8139	1861.72
5.24	7882	8431	8158	1861.72
5.25	7902	8449	8176	1861.72
5.26	7921	8466	8195	1861.72
5.27	7941	8484	8213	1861.72
5.28	7960	8501	8232	1861.72
5.29	7980	8518	8251	1861.72
