depth	min68.2%	max68.2%	best	accrate
3.58	4992	5768	5381	1425.99
3.59	5012	5777	5395	1425.99
3.6	5031	5787	5409	1425.99
3.61	5048	5797	5424	1425.99
3.62	5066	5808	5438	1425.99
3.63	5085	5818	5452	1425.99
3.64	5103	5829	5466	1425.99
3.65	5121	5838	5481	1425.99
3.66	5140	5847	5495	1425.99
3.67	5157	5857	5509	1425.99
3.68	5176	5868	5523	1425.99
3.69	5194	5878	5538	1425.99
3.7	5213	5888	5552	1425.99
3.71	5231	5897	5566	1425.99
3.72	5249	5909	5580	1425.99
3.73	5266	5918	5595	1425.99
3.74	5284	5930	5609	1425.99
3.75	5301	5941	5623	1425.99
3.76	5319	5954	5637	1425.99
3.77	5337	5963	5652	1425.99
3.78	5356	5974	5666	1425.99
3.79	5373	5985	5680	1425.99
3.8	5389	5996	5694	1425.99
3.81	5407	6010	5709	1425.99
3.82	5422	6021	5723	1425.99
3.83	5439	6033	5737	1425.99
3.84	5458	6046	5751	1425.99
3.85	5473	6058	5766	1425.99
3.86	5489	6069	5780	1425.99
3.87	5506	6081	5794	1425.99
3.88	5522	6094	5809	1425.99
3.89	5537	6107	5823	1425.99
3.9	5553	6118	5837	1425.99
3.91	5569	6132	5851	1425.99
3.92	5585	6144	5866	1425.99
3.93	5601	6160	5880	1425.99
3.94	5617	6173	5894	1425.99
3.95	5632	6187	5908	1425.99
3.96	5648	6201	5923	1425.99
3.97	5664	6215	5937	1425.99
3.98	5677	6229	5951	1425.99
3.99	5691	6243	5965	1425.99
4	5706	6259	5980	1425.99
4.01	5718	6273	5994	1425.99
4.02	5732	6289	6008	1425.99
4.03	5746	6304	6022	1425.99
4.04	5760	6320	6037	1425.99
4.05	5774	6335	6051	1425.99
4.06	5787	6351	6065	1425.99
4.07	5800	6367	6079	1425.99
4.08	5813	6381	6094	1425.99
4.09	5825	6396	6108	1425.99
4.1	5837	6413	6122	1425.99
4.11	5850	6428	6137	1425.99
4.12	5862	6444	6151	1425.99
4.13	5874	6460	6165	1425.99
4.14	5886	6478	6179	1425.99
4.15	5898	6494	6194	1425.99
4.16	5909	6510	6208	1425.99
4.17	5920	6528	6222	1425.99
4.18	5930	6545	6236	1425.99
4.19	5940	6561	6251	1425.99
4.2	5951	6579	6265	1425.99
4.21	5961	6596	6279	1425.99
4.22	5971	6612	6293	1425.99
4.23	5982	6630	6308	1425.99
4.24	5994	6649	6322	1425.99
4.25	6004	6667	6336	1425.99
4.26	6016	6685	6350	1425.99
4.27	6027	6702	6365	1425.99
4.28	6036	6720	6379	1425.99
4.29	6045	6737	6393	1425.99
4.3	6054	6756	6407	1425.99
4.31	6065	6776	6422	1425.99
4.32	6076	6795	6436	1425.99
4.33	6086	6814	6450	1425.99
4.34	6097	6832	6464	1425.99
4.35	6106	6850	6479	363.48
4.36	6111	6852	6482	363.48
4.37	6115	6855	6486	363.48
4.38	6120	6857	6490	363.48
4.39	6124	6860	6493	363.48
4.4	6130	6863	6497	363.48
4.41	6134	6865	6501	363.48
4.42	6140	6868	6504	363.48
4.43	6144	6870	6508	363.48
4.44	6148	6873	6511	363.48
4.45	6153	6874	6515	363.48
4.46	6157	6876	6519	363.48
4.47	6162	6878	6522	363.48
4.48	6166	6881	6526	363.48
4.49	6170	6884	6530	363.48
4.5	6175	6886	6533	363.48
4.51	6178	6888	6537	363.48
4.52	6184	6890	6541	363.48
4.53	6189	6893	6544	363.48
4.54	6193	6896	6548	363.48
4.55	6197	6900	6551	363.48
4.56	6202	6903	6555	363.48
4.57	6206	6905	6559	363.48
4.58	6212	6908	6562	363.48
4.59	6217	6911	6566	363.48
4.6	6222	6914	6570	363.48
4.61	6227	6917	6573	363.48
4.62	6232	6919	6577	363.48
4.63	6237	6922	6581	363.48
4.64	6241	6926	6584	363.48
4.65	6246	6928	6588	363.48
4.66	6251	6931	6591	363.48
4.67	6256	6933	6595	363.48
4.68	6260	6937	6599	363.48
4.69	6264	6940	6602	363.48
4.7	6268	6942	6606	363.48
4.71	6272	6945	6610	363.48
4.72	6276	6948	6613	363.48
4.73	6281	6950	6617	363.48
4.74	6285	6953	6620	363.48
4.75	6290	6957	6624	363.48
4.76	6294	6959	6628	363.48
4.77	6299	6962	6631	363.48
4.78	6302	6964	6635	363.48
4.79	6305	6968	6639	363.48
4.8	6310	6970	6642	363.48
4.81	6314	6973	6646	363.48
4.82	6319	6976	6650	363.48
4.83	6324	6979	6653	363.48
4.84	6328	6981	6657	363.48
4.85	6332	6985	6660	363.48
4.86	6337	6988	6664	363.48
4.87	6341	6990	6668	363.48
4.88	6345	6993	6671	363.48
4.89	6349	6996	6675	363.48
4.9	6354	6998	6679	363.48
4.91	6357	7001	6682	363.48
4.92	6361	7004	6686	363.48
4.93	6365	7007	6690	363.48
4.94	6369	7011	6693	363.48
4.95	6373	7013	6697	363.48
4.96	6377	7016	6700	363.48
4.97	6381	7020	6704	363.48
4.98	6386	7023	6708	363.48
4.99	6390	7027	6711	363.48
5	6394	7030	6715	363.48
5.01	6397	7033	6719	363.48
5.02	6402	7037	6722	363.48
5.03	6406	7040	6726	363.48
5.04	6410	7044	6730	363.48
5.05	6414	7047	6733	363.48
5.06	6418	7050	6737	363.48
5.07	6423	7054	6740	363.48
5.08	6427	7057	6744	363.48
5.09	6431	7061	6748	363.48
5.1	6435	7064	6751	363.48
5.11	6440	7068	6755	363.48
5.12	6444	7070	6759	363.48
5.13	6448	7073	6762	363.48
5.14	6452	7076	6766	363.48
5.15	6456	7079	6770	363.48
5.16	6461	7083	6773	363.48
5.17	6465	7086	6777	363.48
5.18	6468	7090	6780	363.48
5.19	6471	7094	6784	363.48
5.2	6475	7097	6788	363.48
5.21	6477	7100	6791	363.48
5.22	6481	7103	6795	363.48
5.23	6485	7106	6799	363.48
5.24	6488	7110	6802	363.48
5.25	6492	7113	6806	363.48
5.26	6496	7116	6810	363.48
5.27	6500	7120	6813	363.48
5.28	6505	7123	6817	363.48
5.29	6508	7126	6820	363.48
5.3	6513	7129	6824	363.48
5.31	6517	7132	6828	363.48
5.32	6521	7136	6831	363.48
5.33	6525	7140	6835	363.48
5.34	6528	7143	6839	363.48
5.35	6532	7147	6842	363.48
5.36	6536	7151	6846	363.48
5.37	6540	7155	6849	363.48
5.38	6543	7159	6853	363.48
5.39	6547	7162	6857	363.48
5.4	6551	7165	6860	363.48
5.41	6555	7168	6864	363.48
5.42	6559	7172	6868	363.48
5.43	6562	7175	6871	363.48
5.44	6565	7178	6875	363.48
5.45	6570	7182	6879	363.48
5.46	6573	7186	6882	363.48
5.47	6576	7191	6886	363.48
5.48	6580	7195	6889	363.48
5.49	6584	7198	6893	363.48
5.5	6588	7202	6897	363.48
5.51	6592	7205	6900	363.48
5.52	6595	7209	6904	363.48
5.53	6598	7213	6908	363.48
5.54	6602	7217	6911	363.48
5.55	6606	7221	6915	363.48
5.56	6610	7225	6919	363.48
5.57	6614	7228	6922	363.48
5.58	6617	7232	6926	363.48
5.59	6620	7237	6929	363.48
5.6	6623	7241	6933	363.48
5.61	6627	7245	6937	363.48
5.62	6630	7250	6940	363.48
5.63	6634	7254	6944	363.48
5.64	6637	7258	6948	363.48
5.65	6641	7263	6951	363.48
5.66	6646	7267	6955	363.48
5.67	6649	7271	6959	363.48
5.68	6652	7275	6962	363.48
5.69	6655	7279	6966	363.48
5.7	6658	7283	6969	363.48
5.71	6661	7287	6973	363.48
5.72	6664	7291	6977	363.48
5.73	6668	7296	6980	363.48
5.74	6671	7300	6984	363.48
5.75	6675	7304	6988	363.48
5.76	6678	7309	6991	363.48
