depth	min68.2%	max68.2%	best	accrate
3.58	5144	5730	5440	1789.45
3.59	5163	5747	5458	1789.45
3.6	5182	5765	5475	1789.45
3.61	5200	5782	5493	1789.45
3.62	5218	5799	5511	1789.45
3.63	5237	5817	5529	1789.45
3.64	5256	5834	5547	1789.45
3.65	5274	5851	5565	1789.45
3.66	5293	5868	5583	1789.45
3.67	5311	5886	5601	1789.45
3.68	5330	5903	5619	1789.45
3.69	5349	5920	5636	1789.45
3.7	5367	5937	5654	1789.45
3.71	5386	5955	5672	1789.45
3.72	5404	5972	5690	1789.45
3.73	5423	5989	5708	1789.45
3.74	5441	6006	5726	1789.45
3.75	5460	6023	5744	1789.45
3.76	5478	6041	5762	1789.45
3.77	5497	6058	5780	1789.45
3.78	5515	6076	5798	1789.45
3.79	5534	6093	5815	1789.45
3.8	5552	6111	5833	1789.45
3.81	5571	6128	5851	1789.45
3.82	5589	6145	5869	1789.45
3.83	5608	6162	5887	1789.45
3.84	5626	6180	5905	1789.45
3.85	5645	6197	5923	1789.45
3.86	5664	6214	5941	1789.45
3.87	5682	6232	5959	1789.45
3.88	5701	6249	5976	1789.45
3.89	5720	6266	5994	1789.45
3.9	5738	6284	6012	1789.45
3.91	5756	6301	6030	1789.45
3.92	5775	6318	6048	1789.45
3.93	5793	6336	6066	1789.45
3.94	5812	6353	6084	1789.45
3.95	5830	6370	6102	1789.45
3.96	5849	6387	6120	1789.45
3.97	5867	6405	6138	1789.45
3.98	5886	6422	6155	1789.45
3.99	5905	6439	6173	1789.45
4	5923	6457	6191	1789.45
4.01	5941	6474	6209	1789.45
4.02	5960	6491	6227	1789.45
4.03	5978	6508	6245	1789.45
4.04	5996	6526	6263	1789.45
4.05	6015	6543	6281	1789.45
4.06	6034	6560	6299	1789.45
4.07	6052	6577	6316	1789.45
4.08	6070	6595	6334	1789.45
4.09	6089	6612	6352	1789.45
4.1	6107	6629	6370	1789.45
4.11	6126	6646	6388	1789.45
4.12	6144	6664	6406	1789.45
4.13	6162	6681	6424	1789.45
4.14	6181	6699	6442	1789.45
4.15	6200	6716	6460	1789.45
4.16	6218	6733	6478	1789.45
4.17	6237	6751	6495	1789.45
4.18	6255	6768	6513	1789.45
4.19	6273	6785	6531	1789.45
4.2	6292	6803	6549	1789.45
4.21	6310	6820	6567	1789.45
4.22	6329	6837	6585	1789.45
4.23	6347	6855	6603	1789.45
4.24	6366	6872	6621	1789.45
4.25	6384	6889	6639	1789.45
4.26	6403	6906	6656	1789.45
4.27	6421	6923	6674	1789.45
4.28	6440	6941	6692	1789.45
4.29	6458	6958	6710	1789.45
4.3	6476	6976	6728	1789.45
4.31	6495	6993	6746	1789.45
4.32	6513	7011	6764	1789.45
4.33	6532	7028	6782	1789.45
4.34	6550	7045	6800	1789.45
4.35	6569	7063	6818	1789.45
4.36	6587	7080	6835	1789.45
4.37	6606	7098	6853	1789.45
4.38	6624	7115	6871	1789.45
4.39	6642	7132	6889	1789.45
4.4	6661	7150	6907	1789.45
4.41	6679	7167	6925	1789.45
4.42	6698	7185	6943	1789.45
4.43	6716	7202	6961	1789.45
4.44	6734	7219	6979	1789.45
4.45	6753	7237	6996	1789.45
4.46	6771	7254	7014	1789.45
4.47	6790	7272	7032	1789.45
4.48	6808	7289	7050	1789.45
4.49	6827	7307	7068	1789.45
4.5	6845	7324	7086	1789.45
4.51	6864	7342	7104	1789.45
4.52	6882	7359	7122	1789.45
4.53	6901	7377	7140	1789.45
4.54	6919	7394	7158	1789.45
4.55	6938	7411	7175	1789.45
4.56	6956	7429	7193	1789.45
4.57	6974	7446	7211	1789.45
4.58	6993	7463	7229	1789.45
4.59	7011	7480	7247	1789.45
4.6	7030	7498	7265	1789.45
4.61	7049	7515	7283	1789.45
4.62	7067	7533	7301	1789.45
4.63	7085	7550	7319	1789.45
4.64	7104	7568	7336	1789.45
4.65	7122	7585	7354	1789.45
4.66	7141	7602	7372	1789.45
4.67	7159	7619	7390	1789.45
4.68	7177	7637	7408	1789.45
4.69	7195	7655	7426	1789.45
4.7	7214	7672	7444	1789.45
4.71	7232	7689	7462	1789.45
4.72	7251	7707	7480	1789.45
4.73	7269	7724	7498	1789.45
4.74	7288	7742	7515	1789.45
4.75	7306	7759	7533	1789.45
4.76	7324	7777	7551	1789.45
4.77	7343	7794	7569	1789.45
4.78	7362	7811	7587	1789.45
4.79	7381	7829	7605	1789.45
4.8	7399	7846	7623	1789.45
4.81	7417	7863	7641	1789.45
4.82	7436	7880	7659	1789.45
4.83	7454	7898	7676	1789.45
4.84	7472	7915	7694	1789.45
4.85	7491	7933	7712	1789.45
4.86	7509	7950	7730	1789.45
4.87	7527	7968	7748	1789.45
4.88	7546	7985	7766	1789.45
4.89	7564	8003	7784	1789.45
4.9	7583	8020	7802	1789.45
4.91	7601	8037	7820	1789.45
4.92	7619	8055	7838	1789.45
4.93	7637	8072	7855	1789.45
4.94	7656	8090	7873	1789.45
4.95	7674	8107	7891	1789.45
4.96	7693	8124	7909	1789.45
4.97	7711	8141	7927	1789.45
4.98	7730	8158	7945	1789.45
4.99	7748	8176	7963	1789.45
5	7767	8193	7981	1789.45
5.01	7785	8211	7999	1789.45
5.02	7804	8228	8016	1789.45
5.03	7822	8245	8034	1789.45
5.04	7840	8263	8052	1789.45
5.05	7859	8280	8070	1789.45
5.06	7877	8298	8088	1789.45
5.07	7895	8315	8106	1789.45
5.08	7913	8333	8124	1789.45
5.09	7931	8350	8142	1789.45
5.1	7950	8368	8160	1789.45
5.11	7969	8385	8178	1789.45
5.12	7987	8402	8195	1789.45
5.13	8006	8420	8213	1789.45
5.14	8024	8437	8231	1789.45
5.15	8043	8454	8249	1789.45
5.16	8061	8472	8267	1789.45
5.17	8079	8489	8285	1789.45
5.18	8098	8506	8303	1789.45
5.19	8116	8524	8321	1789.45
5.2	8135	8541	8339	1789.45
5.21	8153	8558	8356	1789.45
5.22	8171	8576	8374	1789.45
5.23	8190	8593	8392	1789.45
5.24	8208	8611	8410	1789.45
5.25	8227	8628	8428	1789.45
5.26	8245	8646	8446	1789.45
5.27	8264	8663	8464	1789.45
5.28	8282	8680	8482	1789.45
5.29	8300	8698	8500	1789.45
5.3	8319	8715	8518	1789.45
5.31	8337	8733	8535	1789.45
5.32	8356	8750	8553	1789.45
5.33	8374	8768	8571	1789.45
5.34	8392	8786	8589	1789.45
5.35	8411	8803	8607	1789.45
5.36	8429	8820	8625	1789.45
5.37	8448	8838	8643	1789.45
5.38	8466	8855	8661	1789.45
5.39	8484	8872	8679	1789.45
5.4	8503	8889	8696	1789.45
5.41	8521	8907	8714	1789.45
5.42	8540	8925	8732	1789.45
5.43	8558	8942	8750	1789.45
5.44	8576	8960	8768	1789.45
5.45	8595	8977	8786	1789.45
5.46	8613	8995	8804	1789.45
5.47	8631	9012	8822	1789.45
5.48	8650	9029	8840	1789.45
5.49	8668	9047	8858	1789.45
5.5	8686	9064	8875	1789.45
5.51	8705	9082	8893	1789.45
5.52	8723	9099	8911	1789.45
5.53	8742	9117	8929	1789.45
5.54	8760	9135	8947	1789.45
5.55	8779	9152	8965	1789.45
5.56	8797	9170	8983	1789.45
5.57	8815	9187	9001	1789.45
5.58	8834	9205	9019	1789.45
5.59	8852	9222	9036	1789.45
5.6	8871	9240	9054	1789.45
5.61	8889	9257	9072	1789.45
5.62	8908	9275	9090	1789.45
5.63	8926	9293	9108	1789.45
5.64	8944	9310	9126	1789.45
5.65	8962	9327	9144	1789.45
5.66	8980	9345	9162	1789.45
5.67	8998	9362	9180	1789.45
5.68	9016	9380	9198	1789.45
5.69	9035	9397	9215	1789.45
5.7	9053	9415	9233	1789.45
5.71	9071	9433	9251	1789.45
5.72	9090	9451	9269	1789.45
5.73	9108	9468	9287	1789.45
5.74	9126	9485	9305	1789.45
5.75	9145	9503	9323	1789.45
5.76	9163	9521	9341	1789.45
5.77	9182	9538	9359	1789.45
5.78	9200	9555	9376	1789.45
5.79	9218	9573	9394	1789.45
5.8	9237	9590	9412	1789.45
5.81	9255	9608	9430	1789.45
5.82	9273	9625	9448	1789.45
5.83	9292	9643	9466	1789.45
5.84	9310	9660	9484	1789.45
5.85	9329	9678	9502	1789.45
5.86	9347	9695	9520	1789.45
5.87	9366	9713	9538	1789.45
5.88	9384	9731	9555	1789.45
5.89	9402	9748	9573	1789.45
5.9	9420	9766	9591	1789.45
5.91	9438	9783	9609	1789.45
5.92	9457	9801	9627	1789.45
5.93	9475	9818	9645	1789.45
5.94	9493	9836	9663	1789.45
5.95	9511	9853	9681	1789.45
5.96	9530	9871	9699	1789.45
5.97	9548	9889	9716	1789.45
5.98	9566	9906	9734	1789.45
5.99	9584	9924	9752	1789.45
6	9603	9941	9770	1789.45
6.01	9621	9959	9788	1789.45
6.02	9639	9977	9806	1789.45
6.03	9657	9995	9824	1789.45
6.04	9675	10012	9842	1789.45
6.05	9693	10030	9860	1789.45
6.06	9712	10047	9877	1789.45
6.07	9730	10065	9895	1789.45
6.08	9748	10082	9913	1789.45
6.09	9767	10100	9931	1789.45
6.1	9785	10118	9949	1789.45
6.11	9803	10135	9967	1789.45
6.12	9821	10153	9985	1789.45
6.13	9839	10171	10003	1789.45
6.14	9857	10189	10021	1789.45
6.15	9876	10206	10039	1789.45
6.16	9894	10224	10056	1789.45
6.17	9912	10242	10074	1789.45
6.18	9930	10259	10092	1789.45
6.19	9948	10277	10110	1789.45
6.2	9966	10295	10128	1789.45
6.21	9984	10312	10146	1789.45
6.22	10002	10330	10164	1789.45
6.23	10020	10348	10182	1789.45
6.24	10038	10365	10200	1789.45
6.25	10056	10383	10217	1789.45
6.26	10074	10400	10235	1789.45
6.27	10092	10418	10253	1789.45
6.28	10111	10436	10271	1789.45
6.29	10129	10453	10289	1789.45
6.3	10147	10471	10307	1789.45
6.31	10165	10488	10325	1789.45
6.32	10183	10506	10343	1789.45
6.33	10201	10524	10361	1789.45
6.34	10220	10541	10379	1789.45
6.35	10238	10559	10396	1789.45
6.36	10256	10577	10414	1789.45
6.37	10274	10594	10432	1789.45
6.38	10292	10612	10450	1789.45
6.39	10311	10629	10468	1789.45
6.4	10329	10647	10486	1789.45
6.41	10347	10664	10504	1789.45
6.42	10365	10682	10522	1789.45
6.43	10383	10700	10540	1789.45
6.44	10401	10718	10557	1789.45
6.45	10419	10735	10575	1789.45
6.46	10437	10753	10593	1789.45
6.47	10455	10771	10611	1789.45
6.48	10473	10788	10629	1789.45
6.49	10491	10806	10647	1789.45
6.5	10509	10824	10665	1789.45
6.51	10528	10842	10683	1789.45
6.52	10546	10859	10701	1789.45
6.53	10564	10877	10719	1789.45
6.54	10582	10894	10736	1789.45
6.55	10600	10912	10754	1789.45
6.56	10618	10930	10772	1789.45
6.57	10636	10948	10790	1789.45
6.58	10654	10966	10808	1789.45
6.59	10672	10983	10826	1789.45
6.6	10690	11001	10844	1789.45
6.61	10708	11018	10862	1789.45
6.62	10726	11037	10880	1789.45
6.63	10744	11055	10897	1789.45
6.64	10762	11073	10915	1789.45
6.65	10779	11091	10933	1789.45
6.66	10798	11108	10951	1789.45
6.67	10816	11126	10969	1789.45
6.68	10834	11143	10987	1789.45
6.69	10852	11161	11005	1789.45
6.7	10870	11179	11023	1789.45
6.71	10888	11197	11041	1789.45
6.72	10906	11215	11059	1789.45
6.73	10924	11232	11076	1789.45
6.74	10942	11250	11094	1789.45
6.75	10960	11269	11112	1789.45
6.76	10978	11286	11130	1789.45
6.77	10996	11304	11148	1789.45
6.78	11014	11322	11166	1789.45
6.79	11032	11340	11184	1789.45
6.8	11050	11357	11202	1789.45
6.81	11068	11375	11220	1789.45
6.82	11086	11393	11237	1789.45
6.83	11104	11411	11255	1789.45
6.84	11122	11428	11273	1789.45
6.85	11140	11446	11291	1789.45
6.86	11159	11464	11309	1789.45
6.87	11177	11482	11327	1789.45
6.88	11194	11499	11345	1789.45
6.89	11212	11517	11363	1789.45
6.9	11230	11535	11381	1789.45
6.91	11248	11553	11399	1789.45
6.92	11267	11571	11416	1789.45
6.93	11285	11589	11434	1789.45
6.94	11303	11607	11452	1789.45
6.95	11321	11624	11470	1789.45
6.96	11339	11642	11488	1789.45
6.97	11357	11660	11506	1789.45
6.98	11375	11678	11524	1789.45
6.99	11393	11696	11542	1789.45
7	11411	11714	11560	1789.45
7.01	11428	11732	11577	1789.45
7.02	11446	11750	11595	1789.45
7.03	11464	11767	11613	1789.45
7.04	11482	11785	11631	1789.45
7.05	11500	11803	11649	1789.45
7.06	11518	11821	11667	1789.45
7.07	11536	11838	11685	1789.45
7.08	11553	11856	11703	1789.45
7.09	11571	11874	11721	1789.45
7.1	11589	11892	11739	1789.45
7.11	11607	11910	11756	1789.45
7.12	11625	11927	11774	1789.45
7.13	11642	11945	11792	1789.45
7.14	11660	11963	11810	1789.45
7.15	11678	11981	11828	1789.45
7.16	11696	11999	11846	1789.45
7.17	11714	12017	11864	1789.45
7.18	11732	12034	11882	1789.45
7.19	11749	12052	11900	1789.45
7.2	11767	12070	11917	1789.45
7.21	11785	12088	11935	1789.45
7.22	11803	12106	11953	1789.45
7.23	11821	12124	11971	1789.45
7.24	11838	12142	11989	1789.45
7.25	11856	12160	12007	1789.45
7.26	11874	12178	12025	1789.45
7.27	11892	12196	12043	1789.45
7.28	11910	12213	12061	1789.45
7.29	11928	12231	12079	1789.45
7.3	11946	12249	12096	1789.45
7.31	11963	12267	12114	1789.45
7.32	11981	12285	12132	NA
