depth	min68.2%	max68.2%	best	accrate
3.58	5455	6272	5935	-1535.91
3.59	5447	6252	5920	-1504.37
3.6	5440	6236	5905	-1472.94
3.61	5433	6218	5890	-1441.63
3.62	5427	6202	5876	-1410.43
3.63	5421	6185	5861	-1379.35
3.64	5415	6166	5848	-1348.38
3.65	5409	6147	5834	-1317.53
3.66	5404	6132	5821	-1286.79
3.67	5399	6118	5808	-1256.17
3.68	5391	6103	5796	-1225.66
3.69	5386	6090	5783	-1195.27
3.7	5382	6077	5771	-1164.99
3.71	5377	6067	5760	-1134.82
3.72	5373	6056	5748	-1104.77
3.73	5370	6047	5737	-1074.84
3.74	5366	6035	5727	-1045.02
3.75	5361	6025	5716	-1015.31
3.76	5355	6016	5706	-985.72
3.77	5350	6006	5696	-956.25
3.78	5343	5998	5686	-926.88
3.79	5336	5990	5677	-897.64
3.8	5327	5984	5668	-868.5
3.81	5321	5977	5660	-839.49
3.82	5314	5971	5651	-810.58
3.83	5303	5967	5643	-781.8
3.84	5296	5962	5635	-753.12
3.85	5289	5958	5628	-724.56
3.86	5282	5954	5620	-696.12
3.87	5274	5952	5614	-667.79
3.88	5267	5948	5607	-639.58
3.89	5260	5944	5600	-611.47
3.9	5253	5940	5594	-583.49
3.91	5247	5938	5588	-555.62
3.92	5238	5936	5583	-527.86
3.93	5233	5935	5578	-500.22
3.94	5226	5934	5573	-472.69
3.95	5221	5932	5568	-445.28
3.96	5215	5934	5563	-417.98
3.97	5208	5935	5559	-390.8
3.98	5203	5936	5555	-363.73
3.99	5197	5939	5552	-336.78
4	5194	5943	5548	-309.94
4.01	5190	5946	5545	-283.22
4.02	5186	5950	5542	-256.61
4.03	5180	5953	5540	-230.11
4.04	5177	5955	5538	-203.73
4.05	5173	5959	5536	-177.47
4.06	5171	5965	5534	-151.32
4.07	5168	5969	5532	-125.28
4.08	5164	5974	5531	-99.36
4.09	5158	5979	5530	-73.56
4.1	5156	5984	5529	-47.86
4.11	5152	5989	5529	-22.29
4.12	5149	5995	5529	3.18
4.13	5146	6001	5529	28.52
4.14	5145	6006	5529	53.76
4.15	5142	6011	5529	78.88
4.16	5140	6019	5530	103.88
4.17	5139	6027	5531	128.77
4.18	5138	6035	5533	153.54
4.19	5136	6043	5534	178.2
4.2	5136	6049	5536	202.75
4.21	5137	6055	5538	227.18
4.22	5137	6063	5540	251.49
4.23	5138	6072	5543	275.69
4.24	5138	6078	5545	299.78
4.25	5139	6085	5548	323.75
4.26	5140	6093	5552	347.61
4.27	5140	6099	5555	371.35
4.28	5141	6108	5559	394.98
4.29	5139	6116	5563	418.49
4.3	5141	6124	5567	441.89
4.31	5142	6134	5571	465.17
4.32	5145	6141	5576	488.34
4.33	5149	6149	5581	511.39
4.34	5153	6158	5586	534.33
4.35	5156	6168	5591	557.16
4.36	5156	6177	5597	579.87
4.37	5159	6187	5603	602.46
4.38	5162	6197	5609	624.94
4.39	5165	6206	5615	647.31
4.4	5169	6218	5622	669.56
4.41	5173	6231	5628	691.7
4.42	5175	6242	5635	713.72
4.43	5179	6254	5642	735.63
4.44	5185	6266	5650	757.42
4.45	5188	6278	5657	779.1
4.46	5194	6291	5665	800.66
4.47	5201	6305	5673	822.11
4.48	5206	6318	5681	843.44
4.49	5210	6331	5690	864.66
4.5	5215	6343	5698	885.77
4.51	5220	6357	5707	906.76
4.52	5224	6369	5716	927.63
4.53	5231	6383	5725	948.39
4.54	5238	6398	5735	969.04
