depth	min68.2%	max68.2%	best	accrate
3.58	5001	5801	5399	7490.8
3.59	5083	5867	5474	7302.81
3.6	5165	5931	5547	7115.95
3.61	5244	5997	5618	6930.25
3.62	5320	6061	5687	6745.69
3.63	5394	6120	5755	6562.27
3.64	5463	6180	5821	6380
3.65	5531	6239	5884	6198.88
3.66	5599	6299	5946	6018.9
3.67	5660	6354	6006	5840.07
3.68	5723	6407	6065	5662.39
3.69	5785	6459	6122	5485.85
3.7	5844	6510	6176	5310.45
3.71	5900	6561	6229	5136.2
3.72	5953	6609	6281	4963.1
3.73	6006	6655	6330	4791.15
3.74	6056	6701	6378	4620.33
3.75	6104	6744	6425	4450.67
3.76	6149	6785	6469	4282.15
3.77	6193	6825	6512	4114.78
3.78	6233	6865	6553	3948.55
3.79	6273	6905	6593	3783.47
3.8	6311	6944	6630	3619.53
3.81	6346	6980	6667	3456.74
3.82	6382	7015	6701	3295.1
3.83	6417	7047	6734	3134.6
3.84	6449	7077	6765	2975.25
3.85	6477	7107	6795	2817.04
3.86	6506	7137	6823	2659.98
3.87	6533	7165	6850	2504.07
3.88	6558	7191	6875	2349.3
3.89	6583	7215	6898	2195.68
3.9	6604	7238	6920	2043.2
3.91	6623	7259	6941	1891.87
3.92	6641	7277	6960	1741.68
3.93	6658	7295	6977	1592.64
3.94	6671	7312	6993	1444.75
3.95	6684	7326	7008	1298
3.96	6696	7341	7021	1152.4
3.97	6706	7354	7032	1007.94
3.98	6714	7367	7042	864.63
3.99	6721	7376	7051	722.47
4	6727	7386	7058	581.45
4.01	6730	7394	7064	441.57
4.02	6733	7400	7068	302.85
4.03	6733	7404	7071	165.27
4.04	6733	7408	7073	28.83
4.05	6732	7409	7073	-106.46
4.06	6730	7409	7072	-240.6
4.07	6725	7409	7070	-373.6
4.08	6720	7408	7066	-505.45
4.09	6713	7403	7061	-636.16
4.1	6705	7398	7055	-765.72
4.11	6697	7393	7047	-894.13
4.12	6685	7387	7038	-1021.4
4.13	6673	7378	7028	-1147.53
4.14	6660	7368	7016	-1272.5
4.15	6645	7358	7004	-1396.34
4.16	6628	7346	6990	-1519.02
4.17	6610	7333	6974	-1640.56
4.18	6592	7319	6958	-1760.95
4.19	6573	7303	6940	-1880.2
4.2	6554	7288	6922	-1998.3
4.21	6532	7271	6902	-2115.26
4.22	6509	7251	6881	-2231.07
4.23	6484	7231	6858	-2345.74
4.24	6458	7211	6835	-2459.25
4.25	6432	7188	6810	-2571.63
4.26	6403	7165	6784	-2682.85
4.27	6372	7142	6758	-2792.94
4.28	6341	7115	6730	-2901.87
4.29	6310	7089	6701	-3009.66
4.3	6278	7062	6671	-3116.31
4.31	6244	7034	6639	-3221.8
4.32	6209	7006	6607	-3326.16
4.33	6175	6974	6574	-3429.36
4.34	6138	6943	6540	-3531.42
4.35	6099	6910	6504	-3632.29
4.36	6059	6878	6468	-3731.76
4.37	6019	6843	6431	-3829.79
4.38	5980	6804	6392	-3926.37
4.39	5938	6769	6353	-4021.51
4.4	5895	6731	6313	-4115.21
4.41	5854	6692	6272	-4207.47
4.42	5810	6652	6230	-4298.28
4.43	5763	6613	6187	-4387.65
4.44	5716	6571	6143	-4475.57
4.45	5668	6528	6098	-4562.05
4.46	5619	6486	6052	-4647.09
4.47	5570	6442	6006	-4730.69
4.48	5520	6398	5959	-4812.84
4.49	5468	6354	5911	-4893.55
4.5	5417	6308	5862	-4972.82
4.51	5366	6259	5812	-5050.64
4.52	5313	6212	5761	-5127.02
4.53	5259	6164	5710	-5201.95
4.54	5204	6117	5658	-5275.45
4.55	5147	6066	5605	-5347.5
4.56	5091	6017	5552	-5418.1
4.57	5034	5968	5498	-5487.26
4.58	4976	5916	5443	-5554.98
4.59	4918	5862	5387	-5621.26
4.6	4858	5812	5331	-5686.09
4.61	4796	5759	5274	-5749.48
4.62	4736	5704	5217	-5811.43
4.63	4675	5650	5159	-5871.93
4.64	4611	5595	5100	-5930.99
4.65	4546	5539	5041	-5988.61
4.66	4480	5484	4981	-6044.78
4.67	4415	5429	4920	-6099.51
4.68	4348	5373	4859	-6152.8
4.69	4281	5316	4798	-6204.64
4.7	4216	5259	4736	-6255.04
4.71	4151	5201	4673	-6304
4.72	4084	5144	4610	-6351.52
4.73	4016	5086	4547	-6397.59
4.74	3947	5029	4483	-6442.21
4.75	3877	4968	4418	-6485.4
4.76	3807	4906	4353	-6527.14
4.77	3737	4845	4288	-6567.44
4.78	3666	4785	4222	-6606.29
4.79	3596	4723	4156	-6643.7
4.8	3526	4661	4090	-6679.67
4.81	3452	4600	4023	-6714.19
4.82	3379	4539	3956	-6747.27
4.83	3307	4478	3888	-6778.91
4.84	3233	4415	3821	-6809.11
4.85	3160	4354	3753	-6837.86
4.86	3085	4290	3684	-6865.17
4.87	3008	4229	3615	-6891.03
4.88	2933	4165	3547	-6915.45
4.89	2860	4102	3477	-6938.43
4.9	2783	4038	3408	-6959.97
4.91	2709	3975	3338	-6980.06
4.92	2634	3910	3269	-6998.71
4.93	2560	3844	3199	-7015.91
4.94	2485	3779	3128	-7031.67
4.95	2406	3714	3058	-7045.99
4.96	2330	3650	2988	-7058.87
4.97	2253	3585	2917	-7070.3
4.98	2175	3518	2846	-7080.29
4.99	2098	3452	2776	-7088.84
5	2022	3387	2705	-7095.94
5.01	1942	3323	2634	-7101.6
5.02	1867	3259	2563	-7105.81
5.03	1789	3193	2492	-7108.59
5.04	1714	3127	2421	-7109.92
5.05	1637	3064	2350	-7109.8
5.06	1558	3000	2278	-7108.25
5.07	1478	2934	2207	-7105.24
5.08	1397	2871	2136	-7100.8
5.09	1320	2808	2065	-7094.91
5.1	1242	2744	1994	-7087.58
5.11	1164	2679	1923	-7078.81
5.12	1086	2615	1853	-7068.59
5.13	1007	2553	1782	-7056.93
5.14	930	2488	1711	-7043.83
5.15	856	2424	1641	-7029.28
5.16	779	2362	1571	-7013.29
5.17	700	2299	1501	-6995.86
5.18	622	2237	1431	-6976.99
5.19	545	2174	1361	-6956.67
5.2	464	2111	1291	-6934.9
5.21	385	2048	1222	-6911.7
5.22	310	1986	1153	-6887.05
5.23	236	1924	1084	-6860.96
5.24	161	1861	1015	-6833.42
5.25	86	1800	947	-6804.44
5.26	11	1739	879	-6774.02
5.27	-62	1678	811	-6742.15
5.28	-137	1617	744	-6708.84
5.29	-213	1557	677	-6674.09
5.3	-287	1498	610	-6637.9
5.31	-360	1439	544	-6600.26
5.32	-432	1377	478	-6561.17
5.33	-504	1317	412	-6520.65
5.34	-577	1259	347	-6478.68
5.35	-651	1203	282	-6435.27
5.36	-722	1146	218	-6390.41
5.37	-795	1089	154	-6344.12
5.38	-867	1034	90	-6296.37
5.39	-936	978	27	-6247.19
5.4	-1005	923	-35	-6196.56
5.41	-1073	867	-97	-6144.49
5.42	-1140	811	-159	-6090.98
5.43	-1207	758	-220	-6036.02
5.44	-1275	703	-280	-5979.62
5.45	-1342	650	-340	-5921.77
5.46	-1408	600	-399	-5862.48
5.47	-1473	546	-458	-5801.75
5.48	-1538	495	-516	-5739.58
5.49	-1601	446	-573	-5675.96
5.5	-1663	395	-630	-5610.9
5.51	-1725	346	-686	-5544.4
5.52	-1788	298	-741	-5476.45
5.53	-1849	251	-796	-5407.06
5.54	-1911	201	-850	-5336.23
5.55	-1971	157	-903	-5263.95
5.56	-2030	112	-956	-5190.23
5.57	-2091	64	-1008	-5115.06
5.58	-2148	20	-1059	-5038.46
5.59	-2204	-25	-1110	-4960.41
5.6	-2261	-71	-1159	-4880.91
5.61	-2317	-115	-1208	-4799.98
5.62	-2370	-156	-1256	-4717.6
5.63	-2422	-197	-1303	-4633.77
5.64	-2475	-238	-1349	-4548.51
5.65	-2525	-278	-1395	-4461.8
5.66	-2577	-319	-1440	-4373.65
5.67	-2626	-355	-1483	-4284.05
5.68	-2677	-393	-1526	-4193.01
5.69	-2726	-432	-1568	-4100.53
5.7	-2773	-468	-1609	-4006.6
5.71	-2818	-502	-1649	-3911.23
5.72	-2862	-535	-1688	-3814.42
5.73	-2904	-570	-1726	-3716.16
5.74	-2949	-600	-1764	-3616.46
5.75	-2989	-630	-1800	-3515.32
5.76	-3031	-660	-1835	-3412.74
5.77	-3069	-689	-1869	-3308.71
5.78	-3106	-719	-1902	-3203.24
5.79	-3141	-747	-1934	-3096.32
5.8	-3176	-776	-1965	-2987.96
5.81	-3210	-802	-1995	-2878.16
5.82	-3243	-826	-2024	-2766.91
5.83	-3276	-848	-2051	-2654.23
5.84	-3307	-872	-2078	-2540.09
5.85	-3338	-894	-2103	-2424.52
5.86	-3364	-914	-2128	-2307.5
5.87	-3390	-933	-2151	-2189.04
5.88	-3416	-953	-2173	-2069.13
5.89	-3442	-970	-2193	-1947.79
5.9	-3466	-986	-2213	-1825
5.91	-3489	-1001	-2231	-1700.76
5.92	-3510	-1017	-2248	-1575.08
5.93	-3529	-1030	-2264	-1447.96
5.94	-3545	-1040	-2278	-1319.4
5.95	-3563	-1051	-2291	-1189.39
5.96	-3581	-1061	-2303	-1057.94
5.97	-3593	-1070	-2314	-925.05
5.98	-3606	-1076	-2323	-790.71
5.99	-3615	-1079	-2331	-654.93
6	-3622	-1084	-2338	-517.7
6.01	-3628	-1086	-2343	-379.04
6.02	-3634	-1087	-2347	-238.93
6.03	-3638	-1088	-2349	-97.37
6.04	-3641	-1088	-2350	45.63
6.05	-3642	-1085	-2349	190.07
6.06	-3642	-1082	-2348	335.95
6.07	-3640	-1079	-2344	483.28
6.08	-3637	-1074	-2339	632.05
6.09	-3630	-1068	-2333	782.26
6.1	-3623	-1057	-2325	933.92
6.11	-3614	-1047	-2316	1087.02
6.12	-3604	-1037	-2305	1241.56
6.13	-3592	-1024	-2293	1397.55
6.14	-3578	-1009	-2279	1554.97
6.15	-3564	-994	-2263	1713.85
6.16	-3547	-977	-2246	1874.16
6.17	-3528	-959	-2227	2035.92
6.18	-3509	-937	-2207	2199.13
6.19	-3487	-915	-2185	2363.77
6.2	-3460	-893	-2161	2529.86
6.21	-3434	-868	-2136	2697.39
6.22	-3406	-842	-2109	2866.37
6.23	-3377	-815	-2080	3036.79
6.24	-3345	-786	-2050	3208.65
6.25	-3310	-753	-2018	3381.96
6.26	-3274	-722	-1984	3556.71
6.27	-3236	-689	-1948	3732.9
6.28	-3197	-654	-1911	3910.53
6.29	-3155	-617	-1872	4089.61
6.3	-3112	-578	-1831	4270.13
6.31	-3067	-537	-1788	4452.1
6.32	-3020	-495	-1744	4635.51
6.33	-2970	-451	-1698	4820.36
6.34	-2919	-407	-1649	5006.65
6.35	-2865	-361	-1599	5194.39
6.36	-2811	-311	-1547	5383.57
6.37	-2754	-260	-1493	5574.2
6.38	-2695	-207	-1438	5766.27
6.39	-2632	-152	-1380	5959.78
6.4	-2568	-96	-1320	6154.73
6.41	-2503	-36	-1259	6351.13
6.42	-2435	24	-1195	6548.97
6.43	-2365	87	-1130	6748.25
6.44	-2292	149	-1062	6948.98
6.45	-2218	214	-993	7151.15
6.46	-2142	281	-921	7354.77
6.47	-2063	349	-848	7559.82
6.48	-1982	418	-772	7766.33
6.49	-1898	491	-695	7974.27
6.5	-1811	566	-615	8183.66
6.51	-1724	641	-533	8394.49
6.52	-1632	718	-449	8606.76
6.53	-1539	797	-363	8820.48
6.54	-1444	878	-275	9035.64
6.55	-1346	962	-184	9252.24
6.56	-1246	1048	-92	9470.29
6.57	-1143	1134	3	9689.78
6.58	-1038	1222	100	9910.71
6.59	-931	1312	199	10133.09
6.6	-821	1406	300	10356.91
6.61	-709	1505	404	10582.17
6.62	-595	1603	509	10808.88
6.63	-478	1701	618	11037.03
6.64	-359	1802	728	11266.62
6.65	-237	1905	841	11497.66
6.66	-112	2012	956	11730.13
6.67	14	2120	1073	11964.06
6.68	145	2231	1193	12199.42
6.69	278	2343	1315	12436.23
6.7	413	2457	1439	12674.48
6.71	550	2573	1566	12914.18
6.72	690	2691	1695	13155.32
6.73	831	2811	1826	13397.9
6.74	976	2934	1960	13641.93
6.75	1123	3059	2097	13887.4
6.76	1274	3187	2236	14134.31
6.77	1427	3315	2377	14382.66
