depth	min68.2%	max68.2%	best	accrate
3.58	5011	5791	5405	7964.49
3.59	5097	5864	5484	7760.07
3.6	5183	5933	5562	7556.94
3.61	5264	6005	5638	7355.11
3.62	5345	6075	5711	7154.58
3.63	5421	6142	5783	6955.35
3.64	5494	6206	5852	6757.41
3.65	5566	6270	5920	6560.77
3.66	5635	6331	5985	6365.42
3.67	5702	6392	6049	6171.38
3.68	5767	6450	6111	5978.63
3.69	5830	6509	6171	5787.17
3.7	5888	6564	6228	5597.02
3.71	5946	6619	6284	5408.16
3.72	6002	6672	6338	5220.6
3.73	6056	6722	6391	5034.33
3.74	6107	6773	6441	4849.37
3.75	6157	6821	6489	4665.7
3.76	6205	6869	6536	4483.32
3.77	6249	6913	6581	4302.25
3.78	6292	6956	6624	4122.47
3.79	6334	6997	6665	3943.99
3.8	6373	7037	6705	3766.8
3.81	6409	7076	6742	3590.91
3.82	6445	7113	6778	3416.32
3.83	6478	7146	6812	3243.03
3.84	6509	7180	6845	3071.03
3.85	6537	7213	6876	2900.33
3.86	6565	7243	6905	2730.93
3.87	6592	7273	6932	2562.82
3.88	6616	7300	6957	2396.02
3.89	6638	7326	6981	2230.51
3.9	6661	7350	7004	2066.29
3.91	6680	7371	7024	1903.37
3.92	6699	7392	7043	1741.75
3.93	6717	7410	7061	1581.43
3.94	6731	7426	7077	1422.4
3.95	6742	7442	7091	1264.68
3.96	6754	7456	7104	1108.24
3.97	6764	7468	7115	953.11
3.98	6772	7479	7124	799.27
3.99	6777	7489	7132	646.73
4	6783	7495	7139	495.49
4.01	6786	7502	7144	345.54
4.02	6789	7506	7147	196.89
4.03	6791	7508	7149	49.54
4.04	6790	7510	7150	-96.52
4.05	6787	7510	7149	-241.27
4.06	6784	7511	7146	-384.73
4.07	6780	7510	7142	-526.9
4.08	6773	7505	7137	-667.77
4.09	6766	7500	7130	-807.34
4.1	6756	7494	7122	-945.61
4.11	6747	7484	7113	-1082.58
4.12	6736	7474	7102	-1218.26
4.13	6724	7462	7090	-1352.64
4.14	6708	7449	7076	-1485.73
4.15	6692	7436	7061	-1617.52
4.16	6675	7421	7045	-1748.01
4.17	6658	7404	7028	-1877.2
4.18	6638	7386	7009	-2005.1
4.19	6615	7368	6989	-2131.7
4.2	6593	7347	6968	-2257
4.21	6571	7323	6945	-2381
4.22	6546	7302	6921	-2503.71
4.23	6520	7279	6896	-2625.12
4.24	6491	7255	6870	-2745.24
4.25	6463	7228	6843	-2864.05
4.26	6435	7202	6814	-2981.57
4.27	6403	7175	6784	-3097.79
4.28	6373	7145	6753	-3212.72
4.29	6338	7114	6721	-3326.35
4.3	6302	7081	6688	-3438.68
4.31	6267	7046	6653	-3549.71
4.32	6229	7011	6618	-3659.45
4.33	6191	6976	6581	-3767.89
4.34	6150	6939	6544	-3875.03
4.35	6110	6903	6505	-3980.84
4.36	6069	6864	6465	-4085.16
4.37	6026	6828	6424	-4187.95
4.38	5979	6790	6382	-4289.22
4.39	5934	6750	6339	-4388.96
4.4	5888	6707	6295	-4487.17
4.41	5839	6666	6251	-4583.85
4.42	5787	6622	6205	-4679.01
4.43	5737	6578	6158	-4772.64
4.44	5687	6533	6110	-4864.75
4.45	5634	6488	6062	-4955.32
4.46	5579	6444	6012	-5044.37
4.47	5525	6399	5962	-5131.9
4.48	5468	6352	5910	-5217.89
4.49	5412	6305	5858	-5302.36
4.5	5355	6255	5805	-5385.3
4.51	5299	6205	5751	-5466.72
4.52	5238	6154	5697	-5546.61
4.53	5175	6106	5641	-5624.97
4.54	5112	6058	5585	-5701.8
4.55	5047	6008	5528	-5777.11
4.56	4983	5958	5470	-5850.89
4.57	4918	5904	5412	-5923.15
4.58	4850	5851	5352	-5993.87
4.59	4784	5799	5292	-6063.07
4.6	4713	5746	5232	-6130.75
4.61	4642	5692	5170	-6196.89
4.62	4573	5638	5108	-6261.51
4.63	4503	5584	5046	-6324.61
4.64	4432	5529	4983	-6386.17
4.65	4358	5473	4919	-6446.21
4.66	4283	5416	4854	-6504.72
4.67	4209	5359	4789	-6561.71
4.68	4135	5304	4724	-6617.17
4.69	4058	5248	4657	-6671.1
4.7	3981	5189	4591	-6723.5
4.71	3903	5134	4523	-6774.38
4.72	3824	5074	4456	-6823.73
4.73	3744	5014	4387	-6871.55
4.74	3667	4957	4319	-6917.85
4.75	3589	4898	4250	-6962.62
4.76	3509	4840	4180	-7005.86
4.77	3428	4781	4110	-7047.58
4.78	3346	4721	4039	-7087.77
4.79	3262	4661	3969	-7126.43
4.8	3179	4602	3897	-7163.57
4.81	3096	4540	3826	-7199.17
4.82	3012	4480	3754	-7233.26
4.83	2926	4420	3681	-7265.81
4.84	2843	4361	3609	-7296.84
4.85	2759	4301	3536	-7326.34
4.86	2671	4241	3462	-7354.31
4.87	2584	4180	3389	-7380.76
4.88	2499	4114	3315	-7405.68
4.89	2411	4050	3241	-7429.07
4.9	2323	3990	3167	-7450.94
4.91	2237	3928	3092	-7471.28
4.92	2153	3867	3018	-7490.09
4.93	2066	3804	2943	-7507.38
4.94	1982	3740	2868	-7523.13
4.95	1893	3675	2792	-7537.37
4.96	1807	3613	2717	-7550.07
4.97	1719	3550	2641	-7561.25
4.98	1631	3487	2566	-7570.9
4.99	1543	3426	2490	-7579.02
5	1455	3363	2414	-7585.62
5.01	1365	3303	2338	-7590.69
5.02	1274	3240	2263	-7594.23
5.03	1183	3176	2187	-7596.25
5.04	1094	3113	2111	-7596.74
5.05	1006	3050	2035	-7595.7
5.06	915	2989	1959	-7593.14
5.07	823	2927	1883	-7589.05
5.08	734	2864	1807	-7583.43
5.09	642	2802	1731	-7576.28
5.1	552	2741	1655	-7567.61
5.11	463	2679	1580	-7557.41
5.12	373	2615	1504	-7545.69
5.13	284	2553	1429	-7532.43
5.14	193	2491	1353	-7517.66
5.15	107	2432	1278	-7501.35
5.16	17	2371	1203	-7483.52
5.17	-72	2313	1128	-7464.16
5.18	-161	2251	1054	-7443.27
5.19	-250	2194	979	-7420.85
5.2	-337	2133	905	-7396.91
5.21	-424	2072	831	-7371.45
5.22	-508	2011	757	-7344.45
5.23	-595	1955	684	-7315.93
5.24	-682	1896	611	-7285.88
5.25	-768	1838	538	-7254.3
5.26	-853	1779	465	-7221.2
5.27	-941	1718	393	-7186.57
5.28	-1026	1660	321	-7150.42
5.29	-1113	1602	250	-7112.73
5.3	-1198	1543	179	-7073.52
5.31	-1282	1488	108	-7032.79
5.32	-1365	1432	38	-6990.52
5.33	-1449	1373	-32	-6946.73
5.34	-1529	1315	-102	-6901.41
5.35	-1613	1259	-171	-6854.57
5.36	-1696	1202	-239	-6806.2
5.37	-1775	1147	-307	-6756.3
5.38	-1857	1093	-375	-6704.87
5.39	-1936	1038	-442	-6651.92
5.4	-2015	983	-509	-6597.44
5.41	-2095	930	-575	-6541.44
5.42	-2173	877	-640	-6483.9
5.43	-2252	826	-705	-6424.84
5.44	-2327	775	-769	-6364.26
5.45	-2400	723	-833	-6302.14
5.46	-2475	671	-896	-6238.5
5.47	-2550	622	-958	-6173.34
5.48	-2624	571	-1020	-6106.64
5.49	-2699	524	-1081	-6038.42
5.5	-2773	476	-1141	-5968.67
5.51	-2844	431	-1201	-5897.4
5.52	-2918	384	-1260	-5824.6
5.53	-2986	337	-1318	-5750.27
5.54	-3053	292	-1376	-5674.41
5.55	-3120	246	-1432	-5597.03
5.56	-3188	202	-1488	-5518.12
5.57	-3250	162	-1544	-5437.68
5.58	-3316	119	-1598	-5355.72
5.59	-3380	75	-1652	-5272.23
5.6	-3444	30	-1704	-5187.21
5.61	-3507	-11	-1756	-5100.67
5.62	-3568	-51	-1807	-5012.6
5.63	-3629	-91	-1857	-4923
5.64	-3688	-131	-1907	-4831.87
5.65	-3745	-169	-1955	-4739.22
5.66	-3802	-206	-2002	-4645.04
5.67	-3859	-244	-2049	-4549.34
5.68	-3913	-282	-2094	-4452.1
5.69	-3967	-317	-2139	-4353.35
5.7	-4021	-353	-2182	-4253.06
5.71	-4071	-384	-2225	-4151.25
5.72	-4121	-417	-2266	-4047.91
5.73	-4169	-450	-2307	-3943.04
5.74	-4217	-485	-2346	-3836.64
5.75	-4264	-514	-2385	-3728.72
5.76	-4309	-542	-2422	-3619.28
5.77	-4352	-570	-2458	-3508.3
5.78	-4396	-596	-2493	-3395.8
5.79	-4437	-621	-2527	-3281.77
5.8	-4477	-646	-2560	-3166.22
5.81	-4516	-671	-2592	-3049.13
5.82	-4553	-696	-2622	-2930.53
5.83	-4590	-715	-2651	-2810.39
5.84	-4625	-734	-2679	-2688.73
5.85	-4659	-752	-2706	-2565.54
5.86	-4691	-774	-2732	-2440.82
5.87	-4724	-792	-2756	-2314.58
5.88	-4755	-810	-2780	-2186.81
5.89	-4783	-824	-2801	-2057.51
5.9	-4809	-840	-2822	-1926.68
5.91	-4832	-855	-2841	-1794.33
5.92	-4857	-868	-2859	-1660.45
5.93	-4879	-877	-2876	-1525.05
5.94	-4898	-887	-2891	-1388.12
5.95	-4917	-896	-2905	-1249.66
5.96	-4935	-903	-2917	-1109.67
5.97	-4949	-911	-2929	-968.16
5.98	-4962	-917	-2938	-825.12
5.99	-4973	-923	-2946	-680.55
6	-4982	-925	-2953	-534.46
6.01	-4990	-928	-2959	-386.84
6.02	-4997	-928	-2962	-237.69
6.03	-4999	-929	-2965	-87.02
6.04	-5000	-928	-2966	65.18
6.05	-5002	-927	-2965	218.91
6.06	-5004	-922	-2963	374.17
6.07	-5004	-918	-2959	530.95
6.08	-4997	-913	-2954	689.26
6.09	-4995	-905	-2947	849.09
6.1	-4991	-896	-2938	1010.45
6.11	-4981	-887	-2928	1173.34
6.12	-4970	-875	-2917	1337.76
6.13	-4957	-862	-2903	1503.7
6.14	-4942	-847	-2888	1671.17
6.15	-4925	-832	-2871	1840.17
6.16	-4907	-813	-2853	2010.69
6.17	-4884	-794	-2833	2182.75
6.18	-4860	-773	-2811	2356.32
6.19	-4835	-750	-2788	2531.43
6.2	-4806	-728	-2762	2708.06
6.21	-4778	-704	-2735	2886.22
6.22	-4746	-679	-2706	3065.9
6.23	-4711	-652	-2676	3247.12
6.24	-4674	-623	-2643	3429.86
6.25	-4634	-592	-2609	3614.12
6.26	-4592	-561	-2573	3799.91
6.27	-4549	-526	-2535	3987.23
6.28	-4503	-490	-2495	4176.08
6.29	-4455	-453	-2453	4366.45
6.3	-4406	-416	-2409	4558.36
6.31	-4353	-376	-2364	4751.78
6.32	-4299	-334	-2316	4946.74
6.33	-4242	-290	-2267	5143.22
6.34	-4183	-245	-2215	5341.23
6.35	-4122	-198	-2162	5540.76
6.36	-4059	-149	-2107	5741.82
6.37	-3994	-99	-2049	5944.41
6.38	-3929	-47	-1990	6148.53
6.39	-3858	5	-1928	6354.17
6.4	-3785	58	-1865	6561.34
6.41	-3710	116	-1799	6770.04
6.42	-3632	175	-1731	6980.26
6.43	-3553	234	-1662	7192.01
6.44	-3473	294	-1590	7405.29
6.45	-3388	356	-1516	7620.09
6.46	-3301	419	-1439	7836.42
6.47	-3210	485	-1361	8054.28
6.48	-3117	553	-1281	8273.67
6.49	-3021	621	-1198	8494.58
6.5	-2922	694	-1113	8717.02
6.51	-2821	767	-1026	8940.98
6.52	-2719	845	-936	9166.48
6.53	-2613	922	-845	9393.5
6.54	-2504	1002	-751	9622.04
6.55	-2393	1083	-654	9852.12
6.56	-2279	1166	-556	10083.72
6.57	-2163	1250	-455	10316.84
6.58	-2044	1336	-352	10551.5
6.59	-1923	1425	-246	10787.68
6.6	-1799	1517	-139	11025.39
6.61	-1671	1612	-28	11264.62
6.62	-1541	1706	84	11505.38
6.63	-1410	1803	199	11747.67
6.64	-1273	1902	317	11991.49
6.65	-1133	2005	437	12236.83
6.66	-991	2106	559	12483.7
6.67	-846	2214	684	12732.09
6.68	-696	2321	811	12982.02
6.69	-545	2432	941	13233.47
6.7	-392	2543	1073	13486.44
6.71	-234	2657	1208	13740.95
6.72	-74	2771	1346	13996.98
