depth	min68.2%	max68.2%	best	accrate
3.58	5133	5756	5436	1258
3.59	5150	5764	5448	1257.93
3.6	5166	5774	5461	1257.74
3.61	5183	5784	5474	1257.42
3.62	5200	5793	5486	1256.98
3.63	5217	5802	5499	1256.42
3.64	5233	5811	5511	1255.73
3.65	5249	5820	5524	1254.93
3.66	5264	5830	5536	1254
3.67	5281	5839	5549	1252.95
3.68	5296	5849	5562	1251.78
3.69	5311	5857	5574	1250.49
3.7	5326	5867	5587	1249.07
3.71	5342	5876	5599	1247.53
3.72	5358	5886	5612	1245.87
3.73	5374	5895	5624	1244.09
3.74	5388	5905	5636	1242.19
3.75	5403	5915	5649	1240.16
3.76	5418	5924	5661	1238.01
3.77	5430	5934	5674	1235.74
3.78	5444	5944	5686	1233.35
3.79	5458	5954	5698	1230.84
3.8	5472	5965	5711	1228.2
3.81	5486	5976	5723	1225.44
3.82	5498	5986	5735	1222.56
3.83	5511	5996	5747	1219.56
3.84	5525	6006	5760	1216.44
3.85	5538	6016	5772	1213.19
3.86	5551	6028	5784	1209.82
3.87	5563	6038	5796	1206.33
3.88	5574	6048	5808	1202.72
3.89	5587	6060	5820	1198.98
3.9	5599	6072	5832	1195.13
3.91	5610	6083	5844	1191.15
3.92	5622	6093	5856	1187.05
3.93	5634	6106	5868	1182.83
3.94	5644	6118	5880	1178.48
3.95	5656	6129	5891	1174.02
3.96	5668	6141	5903	1169.43
3.97	5679	6153	5915	1164.72
3.98	5690	6163	5926	1159.88
3.99	5701	6176	5938	1154.93
4	5713	6186	5950	1149.85
4.01	5723	6198	5961	1144.65
4.02	5732	6211	5973	1139.33
4.03	5743	6223	5984	1133.89
4.04	5753	6234	5995	1128.32
4.05	5763	6246	6007	1122.64
4.06	5772	6258	6018	1116.83
4.07	5782	6270	6029	1110.9
4.08	5792	6280	6040	1104.84
4.09	5801	6293	6051	1098.67
4.1	5810	6304	6062	1092.37
4.11	5818	6316	6073	1085.95
4.12	5827	6328	6084	1079.41
4.13	5837	6340	6095	1072.75
4.14	5848	6353	6105	1065.96
4.15	5856	6365	6116	1059.06
4.16	5865	6377	6127	1052.03
4.17	5874	6389	6137	1044.87
4.18	5882	6401	6148	1037.6
4.19	5889	6414	6158	1030.21
4.2	5896	6426	6168	1022.69
4.21	5905	6437	6179	1015.05
4.22	5914	6450	6189	1007.29
4.23	5921	6462	6199	999.4
4.24	5929	6473	6209	991.4
4.25	5937	6485	6219	983.27
4.26	5945	6497	6229	975.02
4.27	5952	6508	6238	966.65
4.28	5959	6520	6248	958.15
4.29	5968	6532	6258	949.54
4.3	5975	6543	6267	940.8
4.31	5980	6555	6276	931.94
4.32	5987	6565	6286	922.96
4.33	5995	6576	6295	913.86
4.34	6001	6586	6304	904.63
4.35	6009	6597	6313	895.33
4.36	6016	6607	6322	886.16
4.37	6022	6618	6331	877.16
4.38	6029	6628	6340	868.33
4.39	6034	6638	6348	859.68
4.4	6039	6649	6357	851.21
4.41	6045	6660	6366	842.91
4.42	6050	6670	6374	834.78
4.43	6056	6681	6382	826.83
4.44	6061	6691	6391	819.05
4.45	6066	6702	6399	811.45
4.46	6073	6711	6407	804.02
4.47	6078	6722	6415	796.77
4.48	6084	6732	6423	789.69
4.49	6090	6743	6431	782.79
4.5	6094	6753	6439	776.06
4.51	6099	6763	6446	769.5
4.52	6105	6773	6454	763.12
4.53	6110	6784	6462	756.92
4.54	6114	6795	6469	750.89
4.55	6119	6805	6477	745.03
4.56	6123	6816	6484	739.35
4.57	6128	6826	6492	733.84
4.58	6132	6837	6499	728.51
4.59	6136	6846	6506	723.35
4.6	6140	6857	6513	718.36
4.61	6143	6868	6521	713.55
4.62	6148	6877	6528	708.92
4.63	6152	6886	6535	704.46
