depth	min68.2%	max68.2%	best	accrate
3.58	5088	5872	5497	1668.26
3.59	5110	5884	5514	1667.84
3.6	5132	5896	5530	1666.8
3.61	5155	5909	5547	1665.14
3.62	5178	5921	5564	1662.87
3.63	5200	5933	5580	1659.97
3.64	5222	5946	5597	1656.46
3.65	5245	5957	5614	1652.34
3.66	5269	5968	5630	1647.59
3.67	5291	5979	5647	1642.23
3.68	5314	5992	5663	1636.24
3.69	5337	6002	5679	1629.65
3.7	5358	6014	5696	1622.43
3.71	5381	6025	5712	1614.59
3.72	5402	6040	5728	1606.14
3.73	5425	6050	5744	1597.07
3.74	5446	6064	5760	1587.38
3.75	5466	6077	5776	1577.08
3.76	5487	6090	5792	1566.15
3.77	5506	6102	5807	1554.61
3.78	5525	6116	5823	1542.45
3.79	5544	6129	5838	1529.68
3.8	5562	6143	5854	1516.28
3.81	5579	6157	5869	1502.27
3.82	5597	6170	5884	1487.64
3.83	5613	6182	5899	1472.39
3.84	5630	6195	5913	1456.52
3.85	5646	6210	5928	1440.04
3.86	5660	6224	5942	1422.94
3.87	5676	6239	5957	1405.22
3.88	5692	6252	5971	1386.88
3.89	5707	6265	5984	1367.93
3.9	5721	6279	5998	1348.35
3.91	5734	6292	6012	1328.16
3.92	5747	6305	6025	1307.36
3.93	5760	6318	6038	1285.93
3.94	5772	6331	6051	1263.89
3.95	5785	6345	6063	1241.22
3.96	5796	6359	6076	1217.95
3.97	5809	6372	6088	1194.05
3.98	5820	6386	6100	1169.53
3.99	5831	6398	6112	1144.4
4	5840	6408	6123	1118.65
4.01	5851	6421	6134	1092.28
4.02	5861	6433	6145	1065.3
4.03	5868	6445	6156	1037.69
4.04	5877	6457	6166	1009.47
4.05	5887	6469	6176	980.63
4.06	5895	6481	6186	951.17
4.07	5903	6494	6196	921.1
4.08	5909	6505	6205	890.41
4.09	5917	6517	6214	859.1
4.1	5925	6528	6222	827.17
4.11	5932	6539	6231	794.62
4.12	5938	6550	6239	761.46
4.13	5946	6561	6246	727.68
4.14	5950	6570	6254	693.28
4.15	5953	6580	6260	658.26
4.16	5959	6590	6267	622.63
4.17	5963	6601	6273	586.37
4.18	5966	6611	6279	549.5
4.19	5969	6621	6285	512.01
4.2	5971	6630	6290	473.91
4.21	5975	6638	6294	435.18
4.22	5976	6646	6299	395.84
4.23	5976	6653	6303	355.88
4.24	5977	6661	6306	315.31
4.25	5977	6668	6310	274.11
4.26	5975	6674	6312	232.3
4.27	5974	6680	6315	189.87
4.28	5976	6685	6316	146.82
4.29	5974	6690	6318	103.15
4.3	5972	6694	6319	58.87
4.31	5969	6698	6320	13.97
4.32	5965	6701	6320	-31.55
4.33	5962	6705	6319	-77.69
4.34	5958	6707	6319	-124.44
4.35	5954	6709	6317	-171.61
4.36	5949	6709	6316	-218.34
4.37	5944	6710	6313	-264.42
4.38	5939	6709	6311	-309.87
4.39	5932	6708	6308	-354.67
4.4	5926	6706	6304	-398.84
4.41	5918	6704	6300	-442.35
4.42	5911	6703	6296	-485.23
4.43	5903	6700	6291	-527.47
4.44	5894	6697	6286	-569.06
4.45	5884	6692	6280	-610.01
4.46	5875	6689	6274	-650.32
4.47	5864	6685	6267	-689.98
4.48	5853	6680	6260	-729
4.49	5842	6676	6253	-767.38
4.5	5831	6670	6245	-805.12
4.51	5816	6665	6237	-842.22
4.52	5804	6658	6229	-878.67
4.53	5792	6652	6220	-914.48
4.54	5780	6646	6211	-949.65
4.55	5766	6638	6202	-984.18
4.56	5752	6630	6192	-1018.06
4.57	5736	6622	6182	-1051.31
4.58	5721	6615	6171	-1083.91
4.59	5706	6606	6160	-1115.86
4.6	5692	6598	6149	-1147.18
4.61	5675	6590	6138	-1177.85
4.62	5660	6581	6126	-1207.88
4.63	5646	6574	6114	-1237.27
4.64	5628	6564	6101	-1266.02
4.65	5611	6556	6089	-1294.12
4.66	5593	6546	6076	-1321.58
4.67	5576	6537	6063	-1348.4
4.68	5558	6528	6049	-1374.58
4.69	5541	6518	6035	-1400.12
4.7	5523	6509	6021	-1425.01
4.71	5504	6499	6007	-1449.26
4.72	5485	6490	5993	-1472.87
4.73	5465	6480	5978	-1495.83
4.74	5445	6473	5963	-1518.16
4.75	5424	6465	5948	-1539.84
4.76	5402	6455	5932	-1560.88
4.77	5382	6444	5917	-1581.27
4.78	5363	6432	5901	-1601.03
4.79	5342	6421	5885	-1620.14
4.8	5319	6410	5869	-1638.61
4.81	5298	6402	5852	-1656.44
4.82	5277	6392	5836	-1673.62
4.83	5253	6382	5819	-1690.16
4.84	5230	6371	5802	-1706.06
4.85	5206	6361	5785	-1721.32
4.86	5183	6350	5768	-1735.94
4.87	5161	6340	5750	-1749.91
4.88	5138	6329	5733	-1763.24
4.89	5117	6318	5715	-1775.93
4.9	5092	6309	5698	-1787.98
4.91	5067	6297	5680	-1799.38
4.92	5043	6285	5662	-1810.14
4.93	5019	6273	5644	-1820.26
4.94	4995	6260	5625	-1829.74
4.95	4972	6251	5607	-1838.58
4.96	4947	6241	5589	-1846.77
4.97	4919	6235	5570	-1854.32
4.98	4896	6225	5552	-1861.23
4.99	4873	6215	5533	-1867.5
5	4848	6205	5514	-1873.12
5.01	4821	6194	5496	-1878.1
5.02	4796	6184	5477	-1882.44
5.03	4772	6174	5458	-1886.14
5.04	4749	6161	5439	-1889.19
5.05	4725	6150	5420	-1891.6
5.06	4701	6140	5401	-1893.37
5.07	4675	6128	5382	-1894.5
5.08	4648	6115	5363	-1894.99
5.09	4623	6103	5345	-1894.83
5.1	4600	6093	5326	-1894.03
5.11	4574	6082	5307	-1892.59
5.12	4550	6072	5288	-1890.51
5.13	4525	6063	5269	-1887.78
5.14	4500	6053	5250	-1884.41
5.15	4475	6043	5231	-1880.4
5.16	4451	6031	5212	-1875.75
5.17	4426	6022	5194	-1870.45
5.18	4401	6014	5175	-1864.52
5.19	4377	6002	5156	-1857.94
5.2	4351	5992	5138	-1850.71
5.21	4325	5983	5119	-1842.85
5.22	4301	5973	5101	-1834.34
5.23	4277	5965	5082	-1825.19
5.24	4252	5959	5064	-1815.4
5.25	4227	5949	5046	-1804.97
5.26	4204	5938	5028	-1793.89
5.27	4179	5930	5010	-1782.18
5.28	4153	5925	4992	-1769.82
5.29	4127	5916	4974	-1756.81
5.3	4102	5908	4957	-1743.17
5.31	4077	5897	4939	-1728.88
5.32	4054	5892	4922	-1713.95
5.33	4032	5884	4905	-1698.38
5.34	4006	5875	4888	-1682.16
5.35	3983	5865	4871	-1665.31
5.36	3960	5855	4855	-1647.81
5.37	3937	5846	4838	-1629.67
5.38	3914	5837	4822	-1610.89
5.39	3892	5829	4806	-1591.46
5.4	3869	5821	4790	-1571.39
5.41	3846	5816	4774	-1550.68
5.42	3825	5806	4759	-1529.33
5.43	3804	5797	4743	-1507.33
5.44	3784	5790	4728	-1484.7
5.45	3763	5783	4713	-1461.42
5.46	3742	5776	4699	-1437.5
5.47	3721	5770	4684	-1412.93
5.48	3701	5764	4670	-1387.73
5.49	3681	5761	4656	-1361.88
5.5	3661	5755	4643	-1335.39
5.51	3642	5749	4629	-1308.25
5.52	3622	5743	4616	-1280.48
5.53	3603	5735	4603	-1252.06
5.54	3585	5731	4591	-1223
5.55	3568	5725	4579	-1193.3
5.56	3551	5720	4567	-1162.95
5.57	3535	5717	4555	-1131.97
5.58	3520	5712	4544	-1100.34
5.59	3503	5708	4533	-1068.07
5.6	3485	5706	4522	-1035.15
5.61	3467	5703	4512	-1001.6
5.62	3451	5701	4502	-967.4
5.63	3436	5699	4492	-932.56
5.64	3422	5694	4483	-897.08
5.65	3407	5689	4474	-860.95
5.66	3393	5689	4465	-824.18
5.67	3378	5687	4457	-786.77
5.68	3365	5686	4449	-748.72
5.69	3352	5687	4442	-710.03
5.7	3340	5687	4434	-670.69
5.71	3329	5690	4428	-630.71
5.72	3319	5692	4421	-590.09
5.73	3307	5691	4416	-548.83
5.74	3297	5688	4410	-506.92
5.75	3287	5686	4405	-464.37
5.76	3277	5689	4400	-421.18
5.77	3268	5688	4396	-377.35
5.78	3262	5694	4392	-332.88
5.79	3253	5696	4389	-287.76
5.8	3246	5700	4386	-242
5.81	3240	5703	4384	-195.6
5.82	3234	5705	4382	-148.55
5.83	3229	5709	4380	-100.87
5.84	3223	5711	4379	-52.54
5.85	3218	5715	4379	-3.57
5.86	3214	5718	4379	46.05
5.87	3211	5724	4379	96.3
5.88	3208	5727	4380	147.2
5.89	3206	5733	4382	198.74
5.9	3207	5738	4384	250.92
5.91	3208	5744	4386	303.75
5.92	3209	5749	4389	357.21
5.93	3209	5755	4393	411.32
5.94	3210	5762	4397	466.07
5.95	3213	5771	4402	521.47
5.96	3216	5780	4407	577.5
5.97	3219	5791	4413	634.18
5.98	3223	5799	4419	691.5
5.99	3227	5811	4426	749.47
6	3232	5821	4433	808.07
6.01	3237	5831	4441	867.32
6.02	3241	5842	4450	927.21
6.03	3248	5856	4459	987.74
6.04	3258	5869	4469	1048.92
6.05	3267	5881	4480	1110.73
6.06	3277	5893	4491	1173.19
6.07	3286	5908	4502	1236.29
6.08	3296	5922	4515	1300.04
6.09	3307	5935	4528	1364.42
6.1	3321	5952	4542	1429.45
6.11	3332	5969	4556	1495.12
6.12	3346	5986	4571	1561.43
6.13	3360	6002	4586	1628.39
6.14	3377	6018	4603	1695.99
6.15	3394	6036	4620	1764.23
6.16	3410	6054	4637	1833.11
6.17	3427	6072	4656	1902.63
6.18	3446	6092	4675	1972.8
6.19	3466	6112	4694	2043.61
6.2	3487	6131	4715	2115.06
6.21	3507	6152	4736	2187.15
6.22	3527	6174	4758	2259.89
6.23	3551	6196	4780	2333.27
6.24	3577	6217	4804	2407.29
6.25	3603	6240	4828	2481.95
6.26	3628	6267	4853	2557.25
6.27	3653	6292	4878	2633.2
6.28	3681	6317	4905	2709.79
6.29	3709	6342	4932	2787.02
6.3	3737	6368	4959	2864.9
6.31	3767	6396	4988	2943.41
6.32	3799	6423	5018	3022.57
6.33	3832	6449	5048	3102.37
6.34	3867	6477	5079	3182.82
6.35	3901	6507	5111	3263.9
6.36	3937	6537	5143	3345.63
6.37	3973	6568	5177	3428
6.38	4009	6598	5211	3511.01
6.39	4046	6630	5246	3594.67
6.4	4085	6662	5282	3678.96
6.41	4125	6695	5319	3763.9
6.42	4168	6729	5357	3849.48
6.43	4209	6763	5395	3935.71
6.44	4252	6797	5434	4022.57
6.45	4296	6832	5475	4110.08
6.46	4342	6869	5516	4198.23
6.47	4389	6905	5558	4287.03
6.48	4436	6942	5601	4376.46
6.49	4485	6983	5644	4466.54
6.5	4533	7019	5689	4557.26
6.51	4582	7058	5735	4648.62
6.52	4633	7098	5781	4740.63
6.53	4685	7140	5828	4833.27
6.54	4739	7183	5877	4926.56
6.55	4794	7226	5926	5020.49
6.56	4850	7270	5976	5115.07
6.57	4907	7313	6027	5210.28
6.58	4965	7359	6079	5306.14
6.59	5025	7405	6133	5402.64
6.6	5085	7452	6187	5499.78
6.61	5147	7499	6242	5597.57
6.62	5211	7547	6298	5696
6.63	5276	7595	6355	5795.07
6.64	5343	7644	6412	5894.78
6.65	5410	7693	6471	5995.13
6.66	5478	7743	6531	6096.13
6.67	5547	7794	6592	6197.77
6.68	5618	7846	6654	6300.05
6.69	5690	7897	6717	6402.97
6.7	5763	7951	6781	6506.54
6.71	5836	8004	6846	6610.75
6.72	5913	8060	6913	6715.6
6.73	5990	8115	6980	6821.09
6.74	6069	8172	7048	6927.22
6.75	6148	8230	7117	7034
6.76	6229	8287	7187	7141.42
6.77	6310	8345	7259	7249.48
6.78	6393	8405	7331	7358.19
6.79	6477	8466	7405	7467.53
6.8	6565	8528	7480	7577.52
6.81	6653	8590	7555	7688.15
6.82	6742	8655	7632	7799.43
6.83	6831	8720	7710	7911.34
6.84	6923	8785	7789	8023.9
6.85	7016	8852	7870	8137.1
6.86	7110	8918	7951	8250.94
6.87	7206	8984	8034	8365.43
6.88	7302	9051	8117	8480.55
6.89	7398	9120	8202	8596.32
6.9	7498	9191	8288	8712.73
6.91	7598	9260	8375	8829.79
6.92	7699	9334	8463	8947.48
6.93	7804	9408	8553	9065.82
6.94	7910	9480	8644	9184.8
6.95	8018	9554	8735	9304.43
6.96	8129	9627	8828	9424.69
6.97	8238	9701	8923	9545.6
6.98	8349	9777	9018	9667.15
6.99	8461	9855	9115	9789.34
7	8575	9934	9213	9912.18
7.01	8692	10013	9312	10035.65
7.02	8809	10093	9412	10159.77
7.03	8928	10176	9514	10284.53
7.04	9049	10259	9617	10409.94
7.05	9172	10343	9721	10532.94
7.06	9295	10426	9826	10641.35
7.07	9420	10510	9932	10732.13
7.08	9546	10597	10040	10805.29
7.09	9674	10685	10148	10860.81
7.1	9802	10773	10256	10898.69
7.11	9931	10860	10365	10918.95
7.12	10057	10948	10475	10921.58
7.13	10185	11035	10584	10906.57
7.14	10313	11123	10693	10873.93
7.15	10440	11210	10802	10823.67
7.16	10565	11297	10910	10755.77
7.17	10690	11384	11017	10670.23
7.18	10816	11471	11124	10567.07
7.19	10938	11558	11230	10446.28
7.2	11059	11642	11334	10307.85
7.21	11176	11725	11437	10151.79
7.22	11292	11809	11539	9978.11
7.23	11404	11890	11639	9786.79
7.24	11516	11971	11736	9577.83
7.25	11626	12049	11832	9351.57
7.26	11731	12128	11926	9109.29
7.27	11832	12205	12017	8851.31
7.28	11931	12280	12105	8577.62
7.29	12027	12355	12191	8288.24
7.3	12119	12429	12274	7983.15
7.31	12205	12501	12354	7662.37
7.32	12287	12570	12431	NA
