depth	min68.2%	max68.2%	best	accrate
3.58	5005	5808	5407	1651.52
3.59	5029	5819	5424	1645.29
3.6	5053	5830	5440	1639.07
3.61	5076	5839	5457	1632.85
3.62	5097	5852	5473	1626.62
3.63	5119	5861	5489	1620.4
3.64	5140	5872	5506	1614.18
3.65	5164	5883	5522	1607.95
3.66	5185	5895	5538	1601.73
3.67	5207	5907	5554	1595.5
3.68	5226	5919	5570	1589.28
3.69	5248	5929	5586	1583.06
3.7	5267	5941	5602	1576.83
3.71	5286	5952	5617	1570.61
3.72	5304	5964	5633	1564.39
3.73	5324	5976	5649	1558.16
3.74	5344	5986	5664	1551.94
3.75	5361	5999	5680	1545.72
3.76	5381	6011	5695	1539.49
3.77	5400	6023	5711	1533.27
3.78	5419	6036	5726	1527.04
3.79	5437	6048	5741	1520.82
3.8	5455	6061	5756	1514.6
3.81	5472	6075	5772	1508.37
3.82	5489	6088	5787	1502.15
3.83	5504	6103	5802	1495.93
3.84	5520	6117	5817	1489.7
3.85	5536	6130	5832	1483.48
3.86	5553	6143	5846	1477.25
3.87	5568	6155	5861	1471.03
3.88	5583	6168	5876	1464.81
3.89	5597	6184	5890	1458.58
3.9	5612	6198	5905	1452.36
3.91	5626	6211	5920	1446.14
3.92	5640	6225	5934	1439.91
3.93	5654	6239	5948	1433.69
3.94	5667	6254	5963	1427.47
3.95	5680	6268	5977	1421.24
3.96	5695	6281	5991	1415.02
3.97	5707	6296	6005	1408.79
3.98	5722	6312	6020	1402.57
3.99	5735	6328	6034	1396.35
4	5748	6343	6048	1390.12
4.01	5761	6359	6061	1383.9
4.02	5772	6374	6075	1377.68
4.03	5783	6390	6089	1371.45
4.04	5795	6405	6103	1365.23
4.05	5807	6421	6116	1359.01
4.06	5818	6437	6130	1352.78
4.07	5829	6453	6144	1346.56
4.08	5839	6468	6157	1340.33
4.09	5850	6486	6170	1334.11
4.1	5862	6501	6184	1327.89
4.11	5874	6517	6197	1321.66
4.12	5885	6533	6210	1315.44
4.13	5896	6549	6223	1309.22
4.14	5906	6564	6236	1302.99
4.15	5917	6580	6249	1296.77
4.16	5927	6596	6262	1290.55
4.17	5937	6613	6275	1284.32
4.18	5947	6630	6288	1278.1
4.19	5956	6647	6301	1271.87
4.2	5967	6663	6314	1265.65
4.21	5978	6677	6326	1259.43
4.22	5988	6692	6339	1253.2
4.23	5998	6708	6351	1246.98
4.24	6007	6724	6364	1240.76
4.25	6017	6740	6376	1234.53
4.26	6026	6756	6389	1228.31
4.27	6034	6772	6401	1222.08
4.28	6043	6787	6413	1215.86
4.29	6050	6802	6425	1209.64
4.3	6058	6819	6437	1203.41
4.31	6067	6834	6450	1197.19
4.32	6075	6849	6461	1190.97
4.33	6084	6866	6473	1184.74
4.34	6091	6882	6485	1178.52
4.35	6099	6898	6497	1067.71
4.36	6107	6912	6508	853.87
4.37	6113	6924	6516	642.36
4.38	6116	6936	6523	433.18
4.39	6117	6943	6527	226.34
4.4	6116	6948	6529	21.83
4.41	6113	6952	6529	-180.35
4.42	6108	6954	6528	-380.19
4.43	6102	6954	6524	-577.7
4.44	6092	6951	6518	-772.88
4.45	6082	6949	6510	-965.73
4.46	6069	6940	6501	-1156.24
4.47	6055	6932	6489	-1344.42
4.48	6038	6921	6476	-1530.27
4.49	6019	6909	6460	-1713.79
4.5	5999	6895	6443	-1894.97
4.51	5978	6879	6424	-2073.82
4.52	5955	6861	6404	-2250.34
4.53	5929	6841	6381	-2424.52
4.54	5901	6820	6357	-2596.37
4.55	5873	6798	6331	-2765.89
4.56	5843	6773	6303	-2933.08
4.57	5813	6746	6274	-3097.93
4.58	5778	6718	6243	-3260.45
4.59	5743	6686	6210	-3420.64
4.6	5706	6655	6176	-3578.49
4.61	5668	6622	6140	-3734.01
4.62	5626	6587	6103	-3887.2
4.63	5585	6551	6064	-4038.06
