depth	min68.2%	max68.2%	best	accrate
3.58	5000	5791	5395	1634.26
3.59	5022	5800	5411	1628.68
3.6	5046	5809	5427	1623.11
3.61	5067	5818	5444	1617.53
3.62	5088	5827	5460	1611.96
3.63	5110	5836	5476	1606.39
3.64	5132	5847	5492	1600.82
3.65	5152	5857	5508	1595.25
3.66	5175	5868	5524	1589.69
3.67	5196	5877	5540	1584.12
3.68	5216	5889	5556	1578.56
3.69	5235	5899	5571	1573
3.7	5255	5911	5587	1567.45
3.71	5277	5923	5603	1561.89
3.72	5299	5935	5618	1556.34
3.73	5317	5949	5634	1550.79
3.74	5337	5960	5650	1545.24
3.75	5355	5971	5665	1539.69
3.76	5373	5982	5680	1534.15
3.77	5393	5995	5696	1528.61
3.78	5411	6009	5711	1523.06
3.79	5428	6021	5726	1517.53
3.8	5447	6033	5741	1511.99
3.81	5467	6047	5757	1506.45
3.82	5484	6060	5772	1500.92
3.83	5501	6072	5787	1495.39
3.84	5519	6086	5802	1489.86
3.85	5535	6100	5816	1484.34
3.86	5549	6115	5831	1478.81
3.87	5566	6128	5846	1473.29
3.88	5582	6142	5861	1467.77
3.89	5597	6156	5876	1462.25
3.9	5610	6171	5890	1456.74
3.91	5624	6186	5905	1451.22
3.92	5640	6199	5919	1445.71
3.93	5655	6214	5934	1440.2
3.94	5669	6229	5948	1434.69
3.95	5683	6244	5962	1429.19
3.96	5696	6259	5977	1423.68
3.97	5710	6274	5991	1418.18
3.98	5722	6290	6005	1412.68
3.99	5736	6305	6019	1407.18
4	5748	6321	6033	1401.69
4.01	5759	6335	6047	1396.19
4.02	5770	6351	6061	1390.7
4.03	5782	6367	6075	1385.21
4.04	5793	6383	6089	1379.72
4.05	5805	6399	6103	1374.24
4.06	5817	6414	6117	1368.75
4.07	5828	6431	6130	1363.27
4.08	5838	6447	6144	1357.79
4.09	5849	6464	6158	1352.31
4.1	5862	6480	6171	1346.84
4.11	5873	6497	6184	1341.37
4.12	5884	6514	6198	1335.89
4.13	5895	6530	6211	1330.42
4.14	5905	6546	6225	1324.96
4.15	5915	6563	6238	1319.49
4.16	5926	6579	6251	1314.03
4.17	5936	6596	6264	1308.57
4.18	5946	6613	6277	1303.11
4.19	5956	6628	6290	1297.65
4.2	5965	6645	6303	1292.2
4.21	5973	6662	6316	1286.74
