depth	min	max	median	mean
1.5	4432	4700	4558	4557
2.5	4445	4709	4571	4570
3.5	4454	4715	4585	4583
4.5	4463	4724	4598	4596
5.5	4468	4738	4612	4609
6.5	4483	4750	4625	4622
7.5	4503	4757	4638	4637
8.5	4516	4765	4657	4652
9.5	4529	4772	4676	4667
10.5	4540	4781	4695	4681
11.5	4556	4792	4713	4696
12.5	4577	4795	4733	4711
13.5	4592	4801	4753	4727
14.5	4607	4810	4768	4742
15.5	4615	4826	4780	4757
16.5	4647	4845	4796	4777
17.5	4701	4864	4813	4801
18.5	4748	4895	4828	4825
19.5	4792	4935	4841	4850
20.5	4825	4986	4858	4874
21.5	4855	5029	4892	4908
22.5	4876	5059	4947	4953
23.5	4891	5103	5000	4997
24.5	4903	5158	5048	5041
25.5	4913	5225	5094	5085
26.5	4960	5270	5139	5131
27.5	5041	5287	5185	5179
28.5	5114	5314	5233	5226
29.5	5184	5360	5275	5274
30.5	5236	5414	5315	5322
31.5	5282	5451	5349	5358
32.5	5324	5463	5379	5385
33.5	5346	5479	5409	5411
34.5	5356	5504	5439	5437
35.5	5367	5539	5465	5464
36.5	5393	5564	5487	5487
37.5	5429	5575	5509	5509
38.5	5454	5590	5532	5530
39.5	5476	5615	5555	5552
40.5	5486	5648	5576	5573
41.5	5514	5672	5595	5594
42.5	5541	5689	5612	5614
43.5	5564	5716	5632	5634
44.5	5584	5754	5652	5654
45.5	5594	5808	5672	5674
46.5	5621	5841	5699	5700
47.5	5657	5850	5731	5732
48.5	5679	5860	5765	5764
49.5	5696	5875	5800	5796
50.5	5712	5903	5835	5828
51.5	5735	5929	5865	5855
52.5	5767	5943	5888	5878
53.5	5793	5965	5908	5901
54.5	5811	5996	5926	5924
55.5	5826	6040	5945	5947
56.5	5861	6067	5966	5968
57.5	5907	6079	5986	5989
58.5	5938	6096	6007	6010
59.5	5951	6119	6028	6031
60.5	5958	6150	6050	6052
61.5	5973	6172	6071	6072
62.5	5994	6181	6090	6091
63.5	6010	6194	6111	6109
64.5	6024	6209	6131	6128
65.5	6033	6237	6152	6146
66.5	6062	6257	6173	6168
67.5	6109	6264	6197	6194
68.5	6150	6274	6222	6219
69.5	6179	6286	6248	6244
70.5	6201	6308	6274	6270
71.5	6219	6331	6293	6289
72.5	6237	6342	6305	6303
73.5	6258	6357	6318	6316
74.5	6277	6378	6331	6330
75.5	6287	6403	6345	6343
76.5	6298	6423	6360	6358
77.5	6311	6439	6377	6373
78.5	6319	6463	6392	6388
79.5	6324	6494	6405	6404
80.5	6329	6527	6418	6419
81.5	6340	6554	6431	6435
82.5	6352	6568	6448	6451
83.5	6362	6587	6464	6467
84.5	6369	6611	6480	6482
85.5	6377	6641	6495	6498
86.5	6388	6661	6509	6514
87.5	6404	6673	6527	6530
88.5	6417	6686	6544	6546
89.5	6428	6705	6561	6562
90.5	6437	6724	6577	6577
91.5	6455	6742	6592	6593
92.5	6475	6753	6607	6609
93.5	6494	6769	6622	6624
94.5	6507	6784	6639	6640
95.5	6518	6802	6655	6655
96.5	6541	6817	6671	6672
97.5	6562	6836	6688	6691
98.5	6575	6852	6706	6709
99.5	6589	6879	6723	6727
